"Access Denied";"ဝင္ခြင့္ပိတ္ထားပါသည္"
"click here";"ဤေနရာကို ႏွိပ္ပါ"
Accreditation;တရားဝင္ အသိအမွတ္ျပဳမႈ
"Business Information";"လုပ္ငန္း အခ်က္အလက္"
"Seller Type";"ေရာင္းခ်သူ အမ်ဳိးအစား "
"Owner Name";"ပိုင္ရွင္ အမည္ "
"Store Name";"စတိုးအမည္"
"Primary Address";"ပင္မ လိပ္စာ "
"Other Address";"အျခား လိပ္စာ"
"Contact Number";"ဆက္သြယ္ရန္ နံပါတ္"
"Application Status";"ေလွ်ာက္လႊာ အေျခအေန"
You;သင္
Submit;ထည့္သြင္းပါ
"Mark as Complete";"ျပီးဆုံးေၾကာင္း မွတ္သားပါ"
"Mark as Incomplete";"မျပီးဆုံးေၾကာင္း မွတ္သားပါ"
"Bank Information";"ဘဏ္အခ်က္အလက္"
"Bank Name";"ဘဏ္အမည္ "
"Account Title";"အေကာင့္အမ်ဳိးအစား "
"Account Name";"အေကာင့္အမည္"
"Account Number";"အေကာင့္နံပါတ္"
"Legal Files";"တရားဥပေဒဆိုင္ရာ ဖိုင္မ်ား"
File;ဖိုင္
"Date Uploaded";"အပ္ေလာဒ့္လုပ္ခဲ့ေသာ ေန႔ရက္"
Remarks;မွတ္ခ်က္မ်ား
"DTI/SEC Permit";"DTI/SEC ပါမစ္"
"Mayor's Permit";"ျမိဳ႕ေတာ္ဝန္ ပါမစ္"
"BIR Permit";"BIR ပါမစ္"
"FORM MA11501 Permit";"MA11501 ပါမစ္ ေလွ်ာက္လႊာ"
Others;အျခား
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;စာပို႕အမွတ္
Passport;ပတ္စ္ပို႕တ္
"Driver's License";"ယာဥ္ေမာင္း လိုင္စင္"
PRC;PRC
"Voter's ID";"မဲေပးသူ အိုင္ဒီ"
"School ID";"ေက်ာင္း အိုင္ဒီ"
TIN;TIN
"Valid ID";"ခိုင္မာေသာ ID"
"Download this file";"ဤဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Update Accreditation Type";"တရားဝင္အသိအမွတ္ျပဳမႈ အမ်ဳိးအစားကို အပ္ဒိတ္လုပ္ပါ"
Okay;အိုေက
Accreditations;တရားဝင္ အသိအမွတ္ျပဳမႈမ်ား
"Select Status";"အေျခအေနကို ေရြးခ်ယ္ပါ"
Search;ရွာေဖြပါ
Status;အေျခအေန
"Quick Info";"အျမန္ အခ်က္အလက္"
Name:;အမည္ :
Phone:;ဖုန္း :
Email:;အီးေမးလ္ :
"Affiliate Accreditation";"တြဲဖက္ တရားဝင္ အသိအမွတ္ျပဳမႈ"
"Personal Information";"တစ္ကိုယ္ရည္ အခ်က္အလက္"
"Identification Document";"အသိအမွတ္ျပဳ စာရြက္စာတမ္း"
Username;အသုံးျပဳသူအမည္
Password;စကားဝွက္
"Sign In";"ဝင္ပါ"
"Manage Administrator";"စီမံခန္႕ခြဲသူကို စီမံပါ"
"Register Administrator";"စီမံခန္႕ခြဲသူကို မွတ္ပုံတင္ပါ"
"Enter Username here";"အသုံးျပဳသူအမည္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter Password here";"စကားဝွက္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Change Password";"စကားဝွက္ ေျပာင္းပါ"
"Confirm Password";"စကားဝွက္ကို အတည္ျပဳပါ"
"Enter Confirm Password here";"အတည္ျပဳ စကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"First Name";"နာမည္ ပထမစာလုံး"
"Enter First name here";"နာမည္ ပထမစာလုံးကို ဤေနရာတြင္ ထည့္ပါ"
"Last Name";"နာမည္ ေနာက္ဆုံးစာလုံး"
"Enter Last name here";"နာမည္ ေနာက္ဆုံးစာလုံးကို ဤေနရာတြင္ ထည့္ပါ"
"User Role";"အသုံးျပဳသူအဆင့္"
"Select Role";"အဆင့္ ေရြးခ်ယ္ပါ"
Register;မွတ္ပုံတင္ပါ
"Manage Roles";"အဆင့္မ်ားကို စီမံပါ"
ID;အိုင္ဒီ
Fullname;နာမည္အျပည့္အစုံ
Role;အဆင့္
Activation;သက္ဝင္လုပ္ေဆာင္မႈ
"Enter your new password here";"သင့္စကားဝွက္အသစ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Confirm your new password here";"သင့္စကားဝွက္အသစ္ကို ဤေနရာတြင္ အတည္ျပဳပါ"
Cancel;ပယ္ဖ်က္ပါ
"Manually Created Accounts";"အေကာင့္ကို တစ္ဆင့္ခ်င္း ဖန္တီးျပီးပါျပီ"
"Number of Manual Accounts: 227";"အေကာင့္ အေရအတြက္ : 227"
"Search By Name / ID No. / Business Name";"နာမည္/ အိုင္ဒီနံပါတ္/ လုပ္ငန္းအမည္ျဖင့္ ရွာပါ"
"Accreditation Status:";"တရားဝင္ အသိအမွတ္ျပဳမႈ အေျခအေန :"
Unaccredited;တရားဝင္ အသိအမွတ္မျပဳထားေသာ
Accredited;တရားဝင္ အသိအမွတ္ျပဳထားေသာ
All;အားလုံး
"Created By:";"ဖန္တီးခဲ့သည္ :"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin the Nightstalker"
"Account Status:";"အေကာင့္ အေျခအေန :"
Activated;သက္ဝင္လုပ္ေဆာင္မႈရွိေသာ
Locked;ေလာ့ခ္ခ်ထားေသာ
"Create Account";"အေကာင့္ ဖန္တီးပါ"
"Customer ID";"ဝယ္ယူသုံးစြဲသူ အိုင္ဒီ"
"Business Name";"လုပ္ငန္း အမည္"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"ဘာဂါစက်"
Seller;ေရာင္းခ်သူ
"Ronald McDonald Duck";"Ronald McDonald Duck"
"McDonalds Fastfood";"McDonalds Fastfood"
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus of Honor"
Hybrid;Hybrid
"Manual Creation List";"လမ္းညႊန္ ဖန္တီးမႈ စာရင္း"
"Manual Creation Details";"လမ္းညႊန္ ဖန္တီးမႈ အေသးစိတ္"
"Account Details";"အေကာင့္ အေသးစိတ္"
"Account Notes";"အေကာင့္ မွတ္ခ်က္မ်ား"
"Basic Information";"အေျခခံ အခ်က္အလက္"
Affiliate;တြဲဖက္
"Email Address";"အီးေမးလ္လိပ္စာ"
"Mobile Number";"မိုဘိုင္း နံပါတ္"
"Address Information";"လိပ္စာ အခ်က္အလက္"
Addresses;လိပ္စာမ်ား
"&nbsp;";"&nbsp;"
Home;ပင္မ
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056"
"Bank Accounts";"ဘဏ္အေကာင့္မ်ား"
2130909455677;2130909455677
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Metrobank of the Borneo"
"Accreditation Option";"တရားဝင္ အသိအမွတ္ျပဳမႈ ေရြးခ်ယ္ခ်က္"
"Accreditation Level";"တရားဝင္ အသိအမွတ္ျပဳမႈ အဆင့္"
"Level 1";"အဆင့္ ၁"
"Level 2";"အဆင့္ ၂"
"Level 3";"အဆင့္ ၃"
"Level 4";"အဆင့္ ၄"
"Activate this Account?";"ဤအေကာင့္ကို သက္ဝင္လုပ္ေဆာင္မႈ လုပ္မလား။"
Activate;သက္ဝင္လုပ္ေဆာင္မႈလုပ္သည္
"This Account is Active";"ဤအေကာင့္ကို သက္ဝင္လုပ္ေဆာင္မႈ လုပ္သည္"
"If you wish to deactivate this account, click";"ဤအေကာင့္ကို သက္ဝင္လုပ္ေဆာင္မႈမွ ရပ္တန္႕လိုပါက ႏွိပ္ပါ"
"Deactivate Now";"ယခုပင္ သက္ဝင္လုပ္ေဆာင္မႈမွွ ရပ္တန္႕လိုက္ပါ"
"Temporary Password";"ယာယီ စကားဝွက္"
"System Information";"စနစ္ အခ်က္အလက္"
"Created By";"ဖန္တီးသူ"
"Karl Cases";"Karl Cases"
", 10/22/16 4:43 am";", 10/22/16 4:43 am"
"Last Modified By";"ေနာက္ဆုံး ျပဳျပင္မြမ္းမံခဲ့သည္"
"Save Changes";"ေျပာင္းလဲမႈမ်ားကို သိမ္းပါ"
Notes;မွတ္ခ်က္မ်ား
Title;ေခါင္းစဥ္
Message;မက္ေဆ့ဂ်္
Actions;လုပ္ေဆာင္မႈ
"About Paul Edward Borja and the Spaghetti";"Paul Edward Borja ႏွင့္ စပါဂတီ အေၾကာင္း"
"Last Modified: 10/22/16 4:51 am";"ေနာက္ဆုံး ျပဳျပင္မြမ္းမံခဲ့သည္ : 10/22/16 4:51 am"
View;ၾကည့္ရႈပါ
"New Notes";"မွတ္ခ်က္ အသစ္"
Placeholder;Placeholder
"Enter product description here";"ကုန္ပစၥည္း အေၾကာင္းအရာကို ဤေနရာတြင္ ထည့္ပါ"
Save;သိမ္းဆည္းပါ
"Bank Account";"ဘဏ္အေကာင့္"
"Enter your bank account title here";"သင့္ဘဏ္အေကာင့္ အမ်ဳိးအစားကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your bank account number here";"သင့္ဘဏ္အေကာင့္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your bank account name here";"သင့္ဘဏ္အေကာင့္ အမည္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Are you sure you want to delete this bank account";"ဤဘဏ္အေကာင့္အား ဖ်က္ပစ္လိုသည္မွာ ေသခ်ာပါသလား။"
Delete;ဖ်က္ပါ
Log-out;ထြက္ပါ
English;အဂၤလိပ္
Chinese;တရုတ္
Canada;ကေနဒါ
"Transactions List";"အေရာင္းအဝယ္ စာရင္း"
"Seller Pay-out";"ေရာင္းခ်သူ အခေၾကးေငြ"
"Buyer Refund";"ဝယ္သူ ျပန္အမ္းေငြ"
"Buyer Refund History";"ဝယ္သူ ျပန္အမ္းေငြ မွတ္တမ္း"
"Promo List";"ပရိုမို စာရင္း"
"Seller Accreditation";"ေရာင္းခ်သူ တရားဝင္ အသိအမွတ္ျပဳမႈ"
"Inhouse Products";"သိုေလွာင္ ကုန္မ်ား"
"Buyer List";"ဝယ္သူ စာရင္း"
"Seller/Affiliate List";"ေရာင္းခ်သူ/ တြဲဖက္ စာရင္း"
"Product Listings";"ကုန္ပစၥည္း စာရင္း"
Vouchers;ေဘာက္ခ်ာ
"Request Pay-Outs List";"အခေၾကးေငြ စာရင္းကို ေတာင္းဆိုပါ"
"Batch Pay-Out List";"အပတ္စဥ္ အခေၾကးေငြ စာရင္း"
Product;ကုန္ပစၥည္း
Notification;အသိေပးခ်က္
"Mobile Web view (CMS)";"မိုဘိုင္း ဝက္ဘ္ ၾကည့္ရႈမႈ (CMS)"
"Daily Present";"ေန႔စဥ္ လက္ေဆာင္"
"Custom Messages";"စိတ္ၾကိဳက္ မက္ေဆ့ဂ်္မ်ား"
"Message here";"ဤေနရာတြင္ မက္ေဆ့ဂ်္ေရးပါ"
"Inner Banners";"အတြင္း ဘန္နာမ်ား"
"Upload Banner";"ဘန္နာကို အပ္ေလာဒ့္လုပ္ပါ"
"Select your Banner Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ ဘန္နာ ပါမစ္ဖိုင္ကို ေရြးခ်ယ္ပါ"
"Compatible files: JPEG and PNG";"အသုံးျပဳႏိုင္ေသာ ဖိုင္မ်ား : JPEG ႏွင့္ PNG"
"Banner URL";"ဘန္နာ URL"
"Product CMS";"ကုန္ပစၥည္း CMS"
"Created Date/Time";"ဖန္တီးခဲ့ေသာ ေန႕ရက္/ အခ်ိန္"
Creator;ဖန္တီးသူ
Type;အမ်ဳိးအစား
"12/31/16, 3:00pm";"12/31/16, 3:00pm"
"George Paul";"George Paul"
"Homepage Row";"ပင္မစာမ်က္ႏွာ အတန္း"
"Hot Items";"ေရပန္းစားေနေသာ ကုန္ပစၥည္းမ်ား"
150;150
"Queued @ 12:00am";"စီတန္းထားေသာ @ 12:00am"
"Custom Page";"စိတ္ၾကိဳက္ စာမ်က္ႏွာ"
"Shop Wise";"Shop Wise"
Create;ဖန်တီး
"Create Product CMS";"ကုန္ပစၥည္း CMSကို ဖန္တီးပါ"
"Product Title";"ကုန္ပစၥည္း ေခါင္းစဥ္"
"Enter Your Product Title";"သင့္ကုန္ပစၥည္း ေခါင္းစဥ္ကို ျဖည့္ပါ"
"Upload Featured Banner (Homepage)";"အထူး ဘန္နာကို အပ္ေလာဒ့္လုပ္ပါ (ပင္မစာမ်က္ႏွာ)"
"Upload Featured Banners (Homepage) here";"အထူး ဘန္နာကို ဤေနရာတြင္ အပ္ေလာဒ့္လုပ္ပါ (ပင္မစာမ်က္ႏွာ)"
"Compatible files: JPEG, PNG and PDF";"အသုံးျပဳႏိုင္ေသာ ဖိုင္မ်ား : JPEG, PNG ႏွင့္ PDF"
"Paste Featured Product (Homepage) Link here";"အထူး ကုန္ပစၥည္း (ပင္မစာမ်က္ႏွာ) လင့္ခ္ကို ဤေနရာတြင္ ကူးထည့္ပါ"
Image;ရုပ္ပုံ
"Upload Featured Banner (Inner-Page)";"အထူး ဘန္နာကို အပ္ေလာဒ့္လုပ္ပါ (အတြင္းစာမ်က္ႏွာ)"
"Upload Featured Banners (Inner-Page) here";"အထူး ဘန္နာကို ဤေနရာတြင္ အပ္ေလာဒ့္လုပ္ပါ (အတြင္းစာမ်က္ႏွာ)"
"Paste Product Link (Inner-Page) here";"ကုန္ပစၥည္း (အတြင္းစာမ်က္ႏွာ)ကို ဤေနရာတြင္ ကူးထည့္ပါ"
"Product List";"ကုန္ပစၥည္း စာရင္း"
Clear;ရွင္းလင္းပါ
"Add Products";"ကုန္ပစၥည္းမ်ားကို ေပါင္းထည့္ပါ"
"Date Created";"ဖန္တီးခဲ့ေသာ ေန႔ရက္"
"Product Name";"ကုန္ပစၥည္းအမည္"
"Active Promo";"သက္ဝင္လုပ္ေဆာင္ေနေသာ ပရိုမို"
"Original Price";"မူရင္း ေစ်းႏႈန္း"
"Discounted Price";"ေစ်းခ်ထားေသာ ေစ်းႏႈန္း "
"Available Stock";"ရရွိႏိုင္ေသာ ကုန္ပစၥည္း"
"Product Sold";"ေရာင္းခ်လိုက္ေသာ ကုန္ပစၥည္း"
12/16/16;12/16/16
20%;20%
"PhP 21230";"PhP 21230"
"PhP 18930";"PhP 18930"
2003;2003
122;122
"By Checking this box";"ဤေသတၱာအား စစ္ေဆးျခင္းျဖင့္"
"Start the Process IMMEDIATELY";"ယခုပင္ လုပ္ငန္းကို စတင္လိုက္ပါ"
"Enter product list here";"ကုန္ပစၥည္း စာရင္းကို ဤေနရာတြင္ ထည့္ပါ"
"Price Range:";"ေစ်းႏႈန္း အကန္႔အသတ္ :"
Brands:;ကုန္အမွတ္တံဆိပ္ :
"Sort By:";"စီပါ :"
Alphabetical;အကၡရာစဥ္
"New to Old";"အသစ္ မွ အေဟာင္း"
"Old to New";"အေဟာင္း မွ အသစ္"
Relevance;ပတ္သက္ဆက္ႏြယ္မႈ
Categories:;အမ်ဳိးအစားမ်ား :
Status:;အေျခအေန :
Active;လုပ္ေဆာင္ေနသည္
Inactive;မလုပ္ေဆာင္ပါ
Manufacturer:;ထုတ္လုပ္သူ :
"Please click on the image you want to set as primary";"ပင္မအျဖစ္ ထားရွိလိုေသာ ရုပ္ပုံကို ေက်းဇူးျပဳ၍ ႏွိပ္ပါ"
Primary;ပင္မ
Check;စစ္ေဆးပါ
Error;ခ်ဳိ႔ယြင္းခ်က္
"Remove file";"ဖိုင္ကို ဖယ္ရွားပါ"
SKU;SKU
Width;အက်ယ္
Height;အျမင့္
Length;အလ်ား
Weight;အေလးခ်ိန္
Quantity;အေရအတြက္
"Regular Price";"ပုံမွန္ ေစ်းႏႈန္း"
"Shipping fee";"ပို႕ေဆာင္ခ"
"Retail Price";"လက္လီေစ်းႏႈန္း"
Commission;ေကာ္မစ္ရွင္ 
Date;ေန႔ရက္
"Promo Name";"ပရိုမို အမည္"
"Promo Discount";"ပရိုမို ေလွ်ာ့ေစ်း"
12/12/16;2012/12/16
"Perfect Purple Pair";"ျပီးျပည့္စုံေသာ ခရမ္းေရာင္ တြဲဖက္မႈ"
"Last Edit By";"ေနာက္ဆုံး တည္းျဖတ္ခဲ့သည္"
"Time Stamp";"အခ်ိန္ တံဆိပ္တုံး"
"Chris Paul George";"Chris Bosh George"
"Upload 5 Photos";"ဓာတ္ပုံ ၅ပုံကို အပ္ေလာဒ့္လုပ္ပါ"
"2:00 am";"2:00 am"
"Date Range:";"ရက္ အကန္႔အသတ္ :"
"Start Date";"စတင္သည့္ရက္"
"End Date";"ျပီးဆုံးသည့္ရက္"
"Quantity Sold";"ေရာင္းခ်ခဲ့ေသာ အေရအတြက္"
50;50
"Export to Excel";"Excel အျဖစ္ ထုတ္ပါ"
"In-House Listings";"သိုေလွာင္ စာရင္းမ်ား"
Item;ကုန္ပစၥည္း
Category;အမ်ဳိးအစား
Brand;ကုန္အမွတ္တံဆိပ္
Brief;အက်ဥ္းခ်ဳပ္
Details;အေသးစိတ္
Photos;ဓာတ္ပုံမ်ား
Combinations;ေပါင္းစပ္မႈမ်ား
"Reason of Approval";"လက္ခံရသည့္ အေၾကာင္းျပခ်က္"
Back;ေနာက္
"Reason of Rejection";"ျငင္းပယ္ရသည့္ အေၾကာင္းျပခ်က္"
[[Username]];[[အသုံးျပဳသူအမည္]]
Refund;ျပန္အမ္းေငြ
"Order ID";"ေအာ္ဒါ အိုင္ဒီ"
"Invoice No";"ေျပစာ နံပါတ္"
"Seller ID";"ေရာင္းခ်သူ အိုင္ဒီ"
User;အသုံးျပဳသူ
"Product ID";"ကုန္ပစၥည္း အိုင္ဒီ"
"Order Quantity";"ေအာ္ဒါ အေရအတြက္"
"Unit Price";"တစ္ခုခ်င္း ေစ်းႏႈန္း"
"Total Amount";"စုစုေပါင္း ပမာဏ "
EasyPoint;EasyPoint
NET;အသားတင္
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"man of effin steel"
333;333
"sammmy sam";"sammmy sam"
