"Access Denied";"ဝင္ခြင့္ပိတ္ထားပါသည္"
"Legal Documents";"တရားဥပေဒဆိုင္ရာ စာရြက္စာတမ္းမ်ား"
"This Account currently Locked";"ဤအေကာင့္သည္ လက္ရွိတြင္ ေလာခ့္က်ေနပါသည္"
"Do you want to Activate it now?";"ယခုပင္ သင္ဖြင့္လိုပါသလား။"
"Yes, Activate this Account";"ဟုတ္ကဲ့၊ ဤအေကာင့္ကို သက္ဝင္လုပ္ေဆာင္မႈ ျပဳလုပ္ပါ"
"Select your DTI/SEC Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ DTI/SEC ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Select your Mayor's Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ ျမိဳ႕ေတာ္ဝန္ ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Select your BIR Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ BIR ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Form MA1501 Permit";"MA11501 ပါမစ္ ေလွ်ာက္လႊာ"
"Select your Form MA1501 file from your computer";"သင့္ကြန္ပ်ဴတာမွ MA11501 ေလွ်ာက္လႊာဖိုင္ကို ေရြးခ်ယ္ပါ"
"Where to get a copy of Form MA1501?";"MA11501 ေလွ်ာက္လႊာမိတၱဴကို ဘယ္ေနရာတြင္ ရႏိုင္သလဲ။"
"Download Form MA1501";"MA11501 ေလွ်ာက္လႊာကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Other Documents";"အျခား စာရြက္စာတမ္းမ်ား"
"Select a document file from your computer";"သင့္ကြန္ပ်ဴတာမွ စာရြက္စာတမ္းဖိုင္ကို ေရြးခ်ယ္ပါ"
"Mobile Management";"မိုဘိုင္း စီမံခန္႕ခြဲမႈ"
"Push Notification";"အသိေပးခ်က္ ပို႕ပါ"
"Notification Message";"အသိေပးခ်က္ မက္ေဆ့ဂ်္"
;
"Number of Product Listings:";"ကုန္ပစၥည္း စာရင္း အေရအတြက္ :"
10145;10145
"2014-08-15 12:23:16";"2014-08-15 12:23:16"
sfasfas;sfasfas
"Building Toys";"ေဆာက္လုပ္ေရး ကစားစရာမ်ား"
122121;122121
212;212
"New other (see details)";"အျခားေသာ အသစ္(အေသးစိတ္ ၾကည့္ပါ)"
"Promo Banners";"ပရိုမို ဘန္နာမ်ား"
"Create Promo Banner";"ပရိုမို ဘန္နာ ဖန္တီးပါ"
"Select Product";"ကုန္ပစၥည္းအား ေရြးခ်ယ္ပါ"
"Enter Product Slug";"ကုန္ပစၥည္း စလက္ဂ္ကို ထည့္ပါ"
"Add Product";"ကုန္ပစၥည္း ေပါင္းထည့္ပါ"
"Change Product";"ကုန္ပစၥည္း ေျပာင္းပါ"
"This Promo Banner currently Disabled";"ဤပရိုမို ဘန္နာကို လက္ရွိကာလတြင္ ပိတ္ထားပါသည္"
"Do you want to enable it now?";"ယခုပင္ သင္ဖြင့္လိုပါသလား။"
"Yes, Enable this Promo Banner";"ဟုတ္ကဲ့၊ ဤပရိုမုိဘန္နာကို ဖြင့္လိုပါသည္"
"This Promo Banner is Enabled";"ဤပရိုမို ဘန္နာကို ဖြင့္ထားပါသည္"
"Disable Now";"ယခုပင္ ပိတ္ပါ"
"Upload Banners";"ဘန္နာကို အပ္ေလာဒ့္လုပ္ပါ"
"Upload Banners here";"ဤေနရာတြင္ ဘန္နာမ်ားကို အပ္ေလာဒ့္လုပ္ပါ"
"Search By Product Name";"ကုန္ပစၥည္းအမည္ျဖင့္ ရွာေဖြပါ"
Category:;အမ်ဳိးအစား :
Electronics;လွ်ပ္စစ္ပစၥည္းမ်ား
Gadget;စက္ကိရိယာ အေသးစား
Clothes;အဝတ္အထည္
Enable;ဖြင့္ပါ
Disable;ပိတ္ပါ
"Banner Count";"ဘန္နာ အေရအတြက္"
"Date Added";"ေပါင္းထည့္ထားေသာ ေန႕ရက္"
10/20/15;10/20/15
Enabled;ဖြင့္ထားသည္
"Samsung Galaxy j1";"Samsung Galaxy j1"
5;5
Disabled;ပိတ္ထားသည္
"Raffle Manager";"ကံစမ္းမဲ မန္ေနဂ်ာ"
"Register Raffle";"ကံစမ္းမဲ မွတ္ပုံတင္ပါ"
"Raffle Name";"ကံစမ္းမဲ အမည္"
"Pool of Possible Winners";"ျဖစ္ႏိုင္ေခ်ရွိေသာ ကံစမ္းသူမ်ား"
"Number of Winners to Generate";"ထုတ္ရမည့္ ကံစမ္းသူ အေရအတြက္"
"List of Prices";"ေစ်းႏႈန္း စာရင္း"
"Raffle Lists";"ကံစမ္းမဲ စာရင္း"
Raffle_Name;ကံစမ္းမဲ_အမည္
Winners;ကံစမ္းသူ
"Time Created";"ဖန္တီးခဲ့ေသာ အခ်ိန္"
Prices;ေစ်းႏႈန္း
2121sadasd;2121sadasd
test22;test22
"2014-09-16 11:19:32";"2557-09-16 11:19:32"
"Full Name";"နာမည္ အျပည့္အစုံ"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;အေၾကာင္းအရာ
CSR;CSR
Marketing;မားကတ္တင္း
Super-User;အထူး-အသုံးျပဳသူ
Guest;ဧည့္သည္
"Registered Users";"မွတ္ပုံတင္ထားေသာ အသုံးျပဳသူမ်ား"
"Number of Registered Sellers:";"မွတ္ပုံတင္ထားေသာ ေရာင္းခ်သူ အေရအတြက္ :"
141;141
Affiliates;တြဲဖက္မ်ား
"2014-07-02 14:34:28";"2557-07-02 14:34:28"
"sam gavinio";"sam gavinio"
"Banana Republic";"Banana Republic"
38;38
"Report Manager";"အစီရင္ခံ မန္ေနဂ်ာ"
"Number of uploaded products per account";"အေကာင့္တစ္ခုလွ်င္ အပ္ေလာဒ့္လုပ္ထားေသာ ကုန္ပစၥည္း အေရအတြက္"
"Monthly Sign Up Statistics";"လစဥ္ စာရင္းသြင္းသည့္ စာရင္းဇယား"
"Users w/ &amp; w/out Products";"အသုံးျပဳသူမ်ား w/ &amp; w/out ကုန္ပစၥည္းမ်ား"
"Number of uploaded items per month";"တစ္လလွ်င္ အပ္ေလာဒ့္လုပ္ထားေသာ ကုန္ပစၥည္း အေရအတြက္"
"Number of items per parent category";"ပင္မ အမ်ဳိးအစားတစ္ခုလွ်င္ ကုန္ပစၥည္း အေရအတြက္"
"Show Entries";"ထည့္သြင္းထားသည္မ်ားကို ျပသပါ"
20;20
40;40
80;80
160;160
Monthsss;လ
"Sign-up Count";"စာရင္းသြင္း အေရအတြက္"
2015;2558
January;ဇန္နဝါရီလ
29;29
February;ေဖေဖာ္ဝါရီလ
March;မတ္လ
April;ဧပြီလ
May;ေမလ
2016;2559
Month;လ
"Showing 1 out 39 Entries";"ထည့္သြင္းမႈ ၃၉ခုတြင္ ၁ခုကို ျပသျခင္း"
"Dispute Details";"အျငင္းပြားမႈ အေသးစိတ္"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"တိုင္ၾကားသူ၏ နာမည္ အျပည့္အစုံ"
322-3245-59898;322-3245-59898
"Defendant Full Name";"တိုင္ၾကားခံရသူ၏ နာမည္ အျပည့္အစုံ"
"Janvan Ding";"Janvan Ding"
"Transaction Details";"အေရာင္းအဝယ္ အေသးစိတ္"
4916699163849;4916699163849
"Armando Upton";"Armando Upton"
"Waiting for Payment";"ေငြေပးေခ်မႈအတြက္ ေစာင့္ဆိုင္းေနပါသည္"
"Date of transaction";"အေရာင္းအဝယ္ ေန႕ရက္"
"2015-09-02 13:12:59";"2015-09-02 13:12:59"
"see attachments";"တြဲခ်ိတ္မႈကို ၾကည့္ပါ"
x;x
Reason;အေၾကာင္းျပခ်က္
Open;ဖြင့္ပါ
On-Going;ဆက္လက္လုပ္ေဆာင္ေနေသာ
Rejected;ပယ္ဖ်က္ျပီး
Closed;ပိတ္ထားပါသည္
"Boy Tigol";"Boy Tigol"
"George Georgina";"George Georgia"
09/11/15;2009/11/15
"Search Keyword";"အသုံးဝင္ေသာ စကားလုံးကို ရွာေဖြပါ"
"Query String";"အေမး စာေၾကာင္း"
"Number of Hits";"လူၾကိဳက္မ်ားမႈ အေရအတြက္"
"apple UNION ALL SELECT NULL--";"apple UNION ALL SELECT NULL--"
"Transaction List";"အေရာင္းအဝယ္ စာရင္း"
!;!
Cancellation;ပယ္ဖ်က္မႈ
"Dispute Something";"တစ္စုံတစ္ခုကို ျငင္းခုန္ပါ"
Flag;အမွတ္အသား
DENIED;ျငင္းပယ္ထားသည္
"Create Vourcher";"ေဘာက္ခ်ာ ဖန္တီးပါ"
"Code Name";"ကုဒ္ အမည္"
"Voucher Type";"ေဘာက္ခ်ာ အမ်ဳိးအစား"
Duration;ၾကာခ်ိန္
"Usage Limit";"အသုံးျပဳမႈ အကန္႕အသတ္"
"Discount Type";"ေလွ်ာ့ေစ်း အမ်ဳိးအစား"
Ramboo;Ramboo
"Something for Nothing";"ဘာအတြက္မွမဟုတ္သည့္ တစ္စုံတစ္ခု"
"10 Days";"၁၀ ရက္"
"1 per Account";"အေကာင့္တစ္ခုလွ်င္ ၁"
Utang;Utang
1000;1000
"Voucher Code Name";"ေဘာက္ခ်ာကုဒ္ အမည္"
"Voucher Code";"ေဘာက္ခ်ာကုဒ္"
"Generate Voucher Code";"ေဘာက္ခ်ာကုဒ္ကို ထုတ္ပါ"
One-Time;တစ္ၾကိမ္
Multi-Use;ဘက္စုံသုံး
100;100
"Fixed Amount";"သတ္မွတ္ထားေသာ ပမာဏ"
Percentage;ရာခိုင္ႏႈန္း
100%;100%
"Voucher is currently Inactive";"ေဘာက္ခ်ာသည္ လက္ရွိတြင္ အသုံးျပဳ၍ မရေတာ့ပါ"
"Yes, Activate this Voucher";"ဟုတ္ကဲ့၊ ဤေဘာက္ခ်ာကို သက္ဝင္လုပ္ေဆာင္မႈ ျပဳလုပ္ပါ"
"Voucher is Now Active";"ေဘာက္ခ်ာကို ယခု အသုံးျပဳႏိုင္ပါျပီ"
872378912897;872378912897
Unknown;အမည္မသိ
10/10/15;2010/10/15
"FullName / Email";"အမည္အျပည့္အစုံ/ အီးေမးလ္"
"Remarks from Dispute";"အျငင္းပြားမႈမွ မွတ္ခ်က္မ်ား"
"Deposit Slip";"စရန္ ေျပစာ"
Remarks:;မွတ္ခ်က္မ်ား :
"Enter your remarks";"သင့္မွတ္ခ်က္မ်ားကို ေရးပါ"
"Deposit Slip:";"စရန္ ေျပစာ :"
"Compatible files: JPG, JPEG, and PNG";"အသုံးျပဳႏိုင္ေသာ ဖိုင္မ်ား : JPG, JPEG ႏွင့္ PNG"
"Are you sure you want to refund this transaction?";"ဤအေရာင္းအဝယ္အား ျပန္အမ္းလိုသည္မွာ ေသခ်ာပါသလား။"
No;ေသခ်ာပါသည္
Yes;ဟုတ်ကဲ့
"Refund History Information";"ျပန္အမ္းေငြ မွတ္တမ္း အခ်က္အလက္"
Print;ပရင့္ထုတ္ပါ
"Dispute ID:";"အျငင္းပြားမႈ အိုင္ဒီ :"
"Buyer Name:";"ဝယ္သူ အမည္ :"
"Buyer Email:";"ဝယ္သူ အီးေမးလ္ :"
"Buyer Contact Number:";"ဝယ္သူ၏ ဆက္သြယ္ရန္ နံပါတ္ :"
"Date Request:";"ေတာင္းဆို ရက္ :"
"Date Processed:";"လုပ္ေဆာင္ခဲ့ေသာ ရက္ :"
"Processed By:";"လုပ္ေဆာင္သူ :"
"Click here";"ဤေနရာကို ႏွိပ္ပါ"
"Supplier Payout";"ေရာင္းခ်သူ အခေၾကးေငြ "
"Date From";"စရက္"
"Date To";"ျပီးရက္"
"Search for keyword: Manufacturer/Contact number";"အေရးပါေသာ စကားလုံးကို ရွာေဖြပါ : ထုတ္လုပ္သူ/ ဆက္သြယ္ရန္ နံပါတ္"
"Payout List";"အခေၾကးေငြ စာရင္း"
"Payout History";"အခေၾကးေငြ မွတ္တမ္း"
Manufacturer;ထုတ္လုပ္သူ 
"Reference Number";"ရည္ညႊန္းနံပါတ္"
"Support CSR";"CSR ကို ပံ့ပိုးပါ"
"Payout Details";"အခေၾကးေငြ အေသးစိတ္"
"WayBill Number";"WayBill နံပါတ္"
Warehouse;သိုေလွာင္ရုံ
"Payout Order Products";"အခေၾကးေငြ ေအာ္ဒါ ကုန္ပစၥည္း"
"Deposit Slips";"စရန္ ေျပစာ"
"Date Modified";"ျပဳျပင္မြမ္းမံထားေသာ ေန႕ရက္"
Close;ပိတ္ပါ
"Case ID:";"အေၾကာင္းအရာ အိုင္ဒီ :"
"Date Request";"ေတာင္းဆို ရက္"
"Date Processed";"လုပ္ေဆာင္ခဲ့ေသာ ရက္"
"Processed By";"လုပ္ေဆာင္ပါ"
"Select type of dispute";"အျငင္းပြားမႈ အမ်ဳိးအစားကို ေရြးခ်ယ္ပါ"
"Select status";"အေျခအေနကို ေရြးခ်ယ္ပါ"
"No case found";"မည္သည့္ အေၾကာင္းအရာမွ ရွာမေတြ႕ပါ"
"Dispute Resolution";"အျငင္းပြားမႈ ေျဖရွင္းခ်က္"
"Voucher Name";"ေဘာက္ခ်ာ အမည္"
"Voucher Value";"ေဘာက္ခ်ာ တန္ဖိုး"
"Enter Dispute message here..";"အျငင္းပြားမႈ မက္ေဆ့ဂ်္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ..."
"Replace Different Item";"မတူညီေသာ ကုန္ပစၥည္းကို အစားထိုးပါ"
Done;ျပဳလုပ္ျပီး
"Search for keyword: Store Name";"အေရးပါေသာ စကားလုံးကို ရွာေဖြပါ : စတိုးအမည္"
"Supplier Name";"ေရာင္းခ်သူ အမည္"
"Commission Amount";"ေကာ္မစ္ရွင္ ပမာဏ"
PHP;PHP
"Supplier Payout Amount";"ေရာင္းခ်သူ အခေၾကးေငြ ပမာဏ"
"Search By Invoice No. / Buyer";"ေျပစာ နံပါတ္/ ဝယ္သူျဖင့္ ရွာေဖြပါ"
"Order Status:";"ေအာ္ဒါ အေျခအေန :"
"Payment Type:";"ေငြေပးေခ်မႈ အမ်ဳိးအစား :"
Actions:;လုပ္ေဆာင္မႈ :
"Cancel Request By Buyer";"ဝယ္သူမွ ေတာင္းဆိုခ်က္ကို ပယ္ဖ်က္ပါ"
"Cancel Product";"ကုန္ပစၥည္းကို ပယ္ဖ်က္ပါ"
None;ဘာမွမရွိ
"Collected Amount";"စုေဆာင္းထားေသာ ပမာဏ"
"Transaction Price";"အေရာင္းအဝယ္ ေစ်းႏႈန္း"
"Consignee Name";"လက္ခံသူ အမည္"
"Consignee Contact Number";"လက္ခံသူ၏ ဆက္သြယ္ရန္ နံပါတ္"
"Buyer Details";"ဝယ္သူ အေသးစိတ္"
"Shipping Address";"ပို႔ေဆာင္ရန္ လိပ္စာ"
"Freight Charge";"တန္ဆာခ"
"Additional Charge";"ေနာက္ဆက္တြဲ ကုန္က်စရိတ္"
"Seller Net";"ေရာင္းခ်သူ အသားတင္"
"Voucher Details";"ေဘာက္ခ်ာ အေသးစိတ္"
Attributes;အရည္အေသြး
"Cancel Transaction";"အေရာင္းအဝယ္ကို ပယ္ဖ်က္ပါ"
Deny;ျငင္းပယ္ပါ
"Seller Details";"ေရာင္းခ်သူ အေသးစိတ္"
"Store Address";"စတိုးလိပ္စာ"
"Remarks for Approval";"လက္ခံရန္အတြက္ မွတ္ခ်က္မ်ား"
"Remarks for Deny";"ျငင္းပယ္ရန္အတြက္ မွတ္ခ်က္မ်ား"
"Registered Buyer";"မွတ္ပုံတင္ထားေသာ ဝယ္သူ"
"Search Buyer here";"ဤေနရာတြင္ ဝယ္သူကို ရွာပါ"
"User Information";"အသုံးျပဳသူ အခ်က္အလက္"
UPDATE;အပ္ဒိတ္လုပ္ပါ
"Address Title";"လိပ္စာ အမ်ဳိးအစား"
"Home Address";"အိမ္လိပ္စာ"
"Unit Number";"အခန္းနံပါတ္"
"Building Name";"အေဆာင္နံပါတ္"
"Street Number";"လမ္းနံပါတ္"
"Street Name";"လမ္းအမည္"
Subdivision;ျပည္နယ္ခြဲ
Province;ခရိုင္
"Select your province";"သင့္ခရိုင္ကို ေရြးခ်ယ္ပါ"
City/Municipal;ျမဳိ႕ေတာ္/ကိုယ္ပိုင္အုပ္ခ်ဳပ္ေဒသ
Barangay;Barangay
"Zip Code";"စာပို႕ကုဒ္"
"Registered Seller/Affiliates";"မွတ္ပုံတင္ထားေသာ ေရာင္းခ်သူ/ တြဲဖက္မ်ား"
"Create Voucher";"ေဘာက္ခ်ာ ဖန္တီးပါ"
Code;ကုဒ္
Used;အသုံးျပဳထားသည္
"Voucher Codes";"ေဘာက္ခ်ာကုဒ္"
"Minimum Purchase";"အနည္းဆုံး ဝယ္ယူမႈ"
"By Batch";"အပတ္စဥ္ျဖင့္"
"Disable Countdown Timer";"ေနာက္ျပန္ေရတြက္မႈကို ပိတ္ပါ"
Orientation;သေဘာထား
Order;ေအာ္ဒါ
3;3
"ex. Title";"ex. ေခါင္းစဥ္"
"Left to Right";"ဘယ္ မွ ညာ"
"Right to Left";"ညာ မွ ဘယ္"
"Products Slug (separated by line break)";"ကုန္ပစၥည္း စလက္ဂ္(လိုင္းျခားပါ)"
"Products List";"ကုန္ပစၥည္း စာရင္း"
"Product One";"ကုန္ပစၥည္း တစ္"
"Banner Link";"ဘန္နာ လင့္ခ္"
"Paste your Banner Links here";"ဘန္နာ လင့္ခ္မ်ားကို ဤေနရာတြင္ ကူးထည့္ပါ"
"Category Name";"အမ်ဳိးအစား အမည္"
Show;ျပသပါ
"Category Header Link";"အမ်ဳိးအစား ေခါင္းစီး လင္ခ့္"
11/03/2015;11/03/2558
Time;အခ်ိန္
"Pick a Date";"ေန႔ရက္ကို ေရြးခ်ယ္ပါ"
"Start Time";"စတင္ခ်ိန္"
"End Time";"ျပီးဆုံးခ်ိန္"
"Flash Sales Discount";"ေစ်းေရာင္းပြဲ ေလွ်ာ့ေစ်း"
"Flash Discounted Price";"ေစ်းခ်ထားေသာ ေစ်းႏႈန္း"
"Sales Stock";"အေရာင္း ကုန္အေရအတြက္"
"P 1,000";"P 1,000 "
"10% off";"10% ေလွ်ာ့ေစ်း"
"P 900";"P 900"
"ex. 10%";"ex. 10%"
"ex. 1000";"ex. 1000"
"Mobile Webview (CMS)";"မိုဘိုင္း ဝက္ဘ္ ၾကည့္ရႈမႈ (CMS)"
"Cover Photo Link";"ကာဗာ ဓာတ္ပုံ လင့္ခ္"
"Paste Link";"လင့္ခ္ကို ကူးထည့္ပါ"


