"Access Denied";"Acesso negado"
"click here";"clique aquí"
Accreditation;Acreditação
"Business Information";"Informações comerciais"
"Seller Type";"Tipo de Vendedor"
"Owner Name";"Nome do Proprietário"
"Store Name";"Nome da loja"
"Primary Address";"Endereço principal"
"Other Address";"Outro endereço"
"Contact Number";"Número de telefone"
"Application Status";"Status de aplicação"
You;Você
Submit;Apresentar
"Mark as Complete";"Marcar como concluída"
"Mark as Incomplete";"Marcar como incompleta"
"Bank Information";"Informação bancária"
"Bank Name";"Nome do Banco"
"Account Title";"Título da conta"
"Account Name";"Nome da conta"
"Account Number";"Número de conta"
"Legal Files";"Ficheiros legais"
File;Fichero
"Date Uploaded";"Data de carregamento"
Remarks;Observações
"DTI/SEC Permit";"DTI/SEC Autorização"
"Mayor's Permit";"Autorização do Prefeito"
"BIR Permit";"Autorização de BIR"
"FORM MA11501 Permit";"Autorização de formulário MA 11501"
Others;Outros
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postal
Passport;Passaporte 
"Driver's License";"Carta de condução"
PRC;PRC
"Voter's ID";"Identidade de eleitor"
"School ID";"Identidade de escola"
TIN;TIN
"Valid ID";"Identidade válida"
"Download this file";"Descarregar este ficheiro"
"Update Accreditation Type";"Atualizar a forma de acreditação"
Okay;Está bem
Accreditations;Acreditações
"Select Status";"Selecionar o estado"
Search;Pesquisar
Status;Estado
"Quick Info";"Informação rápida"
Name:;Nome 
Phone:;Telefone
Email:;Correio electrónico
"Affiliate Accreditation";"Acreditação de Afiliados"
"Personal Information";"Informação Pessoal"
"Identification Document";"Documento de Identificação"
Username;Nome de utilizador
Password;Senha
"Sign In";"Iniciar sessão"
"Manage Administrator";"Administrador de Gerencia"
"Register Administrator";"Administrador de Registo"
"Enter Username here";"Introduzir nome de utilizador aquí"
"Enter Password here";"Introduzir senha aquí"
"Change Password";"Alterar senha"
"Confirm Password";"Confirmar senha"
"Enter Confirm Password here";"Inserir Confirmar senha aquí"
"First Name";"Nome"
"Enter First name here";"Inserir Nome aquí"
"Last Name";"Apelido"
"Enter Last name here";"Inserir Apelido aquí"
"User Role";"Função do usuário"
"Select Role";"Escolher a função"
Register;Registrar
"Manage Roles";"Gerir as funções"
ID;Identificação
Fullname;Nome completo
Role;Função
Activation;Activação
"Enter your new password here";"Introduzir aqui a sua nova senha"
"Confirm your new password here";"Confirmar a sua nova senha aquí"
Cancel;Anular
"Manually Created Accounts";"Contas criadas manualmente"
"Number of Manual Accounts: 227";"Número de contas manuais "
"Search By Name / ID No. / Business Name";"Pesquisar por Nome / Número de Identificação / Nome Comercial"
"Accreditation Status:";"Estado de Acreditação"
Unaccredited;Não acreditado
Accredited;Acreditado
All;Todos
"Created By:";"Criado por:"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin the Nighstalker"
"Account Status:";"Estado da Conta"
Activated;Activado
Locked;Bloqueado
"Create Account";"Criar Conta"
"Customer ID";"Identificação do cliente"
"Business Name";"Nome da empresa"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Máquina de hamburgers"
Seller;Vendedor
"Ronald McDonald Duck";"Pato de Ronald McDonald"
"McDonalds Fastfood";"McDonalds Comida Rápida"
Mechant;Comerciante
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Casa de Honra"
Hybrid;Híbrido
"Manual Creation List";"A lista da criação manual"
"Manual Creation Details";"Detalhes da Criação Manual"
"Account Details";"Detalhes da Conta"
"Account Notes";"Observações da Conta"
"Basic Information";"Informação básica"
Affiliate;Afiliar
"Email Address";"Endereço de correio electrónico"
"Mobile Number";"Número de telemóvel"
"Address Information";"Informação de endereço"
Addresses;Endereços
"&nbsp";"&nbsp"
Home;Casa de Honra
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay2, 566056"
"Bank Accounts";"Contas bancárias"
2130000000000;2130000000000
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Instituição bancária de Bornéu"
"Accreditation Option";"Opção da Acreditação"
"Accreditation Level";"Nível da Acreditação"
"Level 1";"Nível 1"
"Level 2";"Nível 2"
"Level 3";"Nível 3"
"Level 4";"Nível 4"
"Activate this Account?";"Activar esta Conta?"
Activate;Activar esta Conta?
"This Account is Active";"Esta Conta fica Activa"
"If you wish to deactivate this account, click";"Clique si deseja desactivar esta conta"
"Deactivate Now";"Desactivar agora"
"Temporary Password";"Senha Temporária"
"System Information";"Informação do sistema"
"Created By";"Criado por"
"Karl Cases";"Karl Cases"
", 10/22/16 4:43 am";",10/22/16 4:43 am"
"Last Modified By";"Última redacção por"
"Save Changes";"Salvar alterações"
Notes;Observações 
Title;Tema
Message;Mensagem
Actions;Ações
"About Paul Edward Borja and the Spaghetti";"Sobre Paul Edward Borja e The Spaghetti"
"Last Modified: 10/22/16 4:51 am";"Última modificação"
View;Visualizações
"New Notes";"Novas observações"
Placeholder;Espaço reservado
"Enter product description here";"Introduza aquí a descrição de produto"
Save;Guardar
"Bank Account";"Conta bancária"
"Enter your bank account title here";"Introduza aquí o título da sua conta bancária"
"Enter your bank account number here";"Introduza aquí o número da sua conta bancária"
"Enter your bank account name here";"Introduza aquí o nome da sua conta bancária"
"Are you sure you want to delete this bank account";"Tem a certeza de que deseja apagar esta conta bancária"
Delete;Apagar
Log-out;Desconectar
English;Inglês
Chinese;Chinês
Canada;Canadá
"Transactions List";"Lista de transacções "
"Seller Pay-out";"Pagamento de Vendedor"
"Buyer Refund";"Reembolso ao comprador"
"Buyer Refund History";"Histórico de reembolso ao comprador"
"Promo List";"Lista Promocional"
"Seller Accreditation";"Acreditação de Vendedor"
"Inhouse Products";"Produtos internos"
"Buyer List";"Lista de comprador"
"Seller/Affiliate List";"Lista de Vendedor/Afiliado"
"Product Listings";"Lista de Produtos"
Vouchers;Vales
"Request Pay-Outs List";"Solicitar a Lista de Pagamento de Vendedor"
"Batch Pay-Out List";"Lote de Lista de Pagamento"
Product;Produtos internos
Notification;Notificação
"Mobile Web view (CMS)";"Visualização móvel Internet (CMS)"
"Daily Present";"Apresentações diarias "
"Custom Messages";"Mensagens customizadas"
"Message here";"Escreva sua mensagem aquí"
"Inner Banners";"Faixas internas"
"Upload Banner";"Carregar faixas"
"Select your Banner Permit file from your computer";"Seleccionar o arquivo de Permissão de Faixas do seu computador"
"Compatible files: JPEG and PNG";"Arquivos compatíveis: JPEG y PNG"
"Banner URL";"URL de Faixa"
"Product CMS";"CMS de produto"
"Created Date/Time";"Criado Data/Hora"
Creator;Criador
Type;Tipo
"12/31/16, 3:00pm";"12/31/16, 3:00pm"
"George Paul";"George Paul"
"Homepage Row";"Linha de página web"
"Hot Items";"Artigos quentes"
150;150
"Queued @ 12:00am";"Em fila @12:00am"
"Custom Page";"Página personalizada"
"Shop Wise";"Compra Sábia"
Create;Criar
"Create Product CMS";"Criar Produto CMS"
"Product Title";"Nome de Produto"
"Enter Your Product Title";"Introduzir o Nome do seu Produto"
"Upload Featured Banner (Homepage)";"Carregar faixas destacadas (Página web)"
"Upload Featured Banners (Homepage) here";"Carregar faixas destacadas (Página web) aquí"
"Compatible files: JPEG, PNG and PDF";"Arquivos compatíveis: JPEG, PNG e PDF"
"Paste Featured Product (Homepage) Link here";"Colar Link do Produto destacado (Página web) "
Image;Imagem
"Upload Featured Banner (Inner-Page)";"Carregar faixas destacadas (página interior)"
"Upload Featured Banners (Inner-Page) here";"Carregar aquí faixas destacadas (página interior)"
"Paste Product Link (Inner-Page) here";"Colar aqui Link do Produto (página interior)"
"Product List";"Lista de produtos"
Clear;Claro
"Add Products";"Adicionar produtos"
"Date Created";"Criado em data"
"Product Name";"Nome do Produto"
"Active Promo";"Promoção Ativa"
"Original Price";"Preço original"
"Discounted Price";"Preço com desconto"
"Available Stock";"Existências disponíveis"
"Product Sold";"Produto vendido"
12/16/16;12/16/16
0.2;0.2
"PhP 21230";"PhP 21230"
"PhP 18930";"pHp 18930"
2003;2003
122;122
"By Checking this box";"Ao marcar esta quadrícula"
"Start the Process IMMEDIATELY";"Iniciar o processo IMEDIATAMENTE"
"Enter product list here";"Introduzir aquí a lista dos productos "
"Price Range:";"Gama de preços"
Brands:;Marcas
"Sort By:";"Ordenar por:"
Alphabetical;Alfabético
"New to Old";"Novo a Antigo"
"Old to New";"Antigo a Novo"
Relevance;Importância
Categories:;Categorias:
Status:;Estado:
Active;Ativo
Inactive;Inativo
Manufacturer:;Produtor:
"Please click on the image you want to set as primary";"Clique na imagem que deseja definir como principal"
Primary;Principal
Check;Verificar
Error;Erro
"Remove file";"Remover um arquivo"
SKU;SKU
Width;Largura
Height;Altura
Length;Comprimento
Weight;Peso
Quantity;Quantidade
"Regular Price";"Preço normal"
"Shipping fee";"Despesas de envio"
"Retail Price";"Preço de venda"
Commission;Comissão
Date;Data
"Promo Name";"Nome Promocional"
"Promo Discount";"Desconto promocional"
42716;42716
"Perfect Purple Pair";"Dupla roxa perfeita"
"Last Edit By";"Última edição por"
"Time Stamp";"Registo da hora"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"Carregar 5 fotos"
"0.0833333333333333";"0.0833333333333333"
"Date Range:";"Gama de data"
"Start Date";"Data de início"
"End Date";"Data límite"
"Quantity Sold";"Quantidade vendida"
50;50
"Export to Excel";"Exportar Excel"
"In-House Listings";"Listados internos"
Item;Artigo
Category;Categoria
Brand;Marca
Brief;Sumário
Details;Detalhes
Photos;Fotos
Combinations;Combinações
"Reason of Approval";"Motivo de aprovação"
Back;Voltar
"Reason of Rejection";"Motivo de rejeição"
[[Username]];Nome de Usuário
Refund;Reembolso
"Order ID";"Número do Pedido"
"Invoice No";"Número de Fatura"
"Seller ID";"Identificador de Vendedor"
User;Usuário
"Product ID";"Número do Produto"
"Order Quantity";"Quantidade do Pedido"
"Unit Price";"Preço por unidade"
"Total Amount";"Quantidade total"
EasyPoint;EasyPoint (Ponto Simples)
NET;NET
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"homem de aço effin"
333;333
"sammmy sam";"sammy sam"
1;1
On-going;Contínua
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;Warcraft
14;14
"Paid - Returned";"Pago devolvido"
"Proceed To Refund";"Proceder ao reembolso"
"History Information";"Informação histórica"
"Shipping Price";"Preço de envio"
"Easyshop Charge";"Custos de Easyshop"
"Payment Method Charge";"Custos de método de pagamento"
Easypoints;Easypoints (Pontos fáceis)
Net;Net
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;maçá
"History ID";"Identificação histórica"
State;Estado
404;404
"42157.7479166667";"42157.7479166667"
"Item has not been shipped";"Os itens não forem enviados"
"Reason of Cancellation";"Motivo do cancelamento"
Requestor;Requisitante
"--Select Requestor--";"Selecionar requisitante"
Buyer;Comprador
"Type of Reason";"Tipo de motivo"
"--Select Reason--";"Escolher motivo"
"Edit/Add Category";"Revisar / Adicionar Categoria"
Name;Nome 
Description;Descrição
Keyword;Palabra-chave
"Sort Order";"Ordem de ordenação"
"Order Product Id";"Identificação de Produtos Pedidos"
"Shipping Fee";"Taxa de envio"
"Total Price";"Preço total"
"Net Price";"Preço líquido"
"Current Tag";"Etiqueta atual"
209;209
"Order Details";"Detalhes do pedido"
Sample;mostra
KD3-38u123pi;KD3-38U123pi
"YiLinker Charge";"Custo de YiLinker"
"Order Product ID";"Identificação de Produtos Pedidos"
"Unflag Transaction";"Transação incondicional"
"Void Transaction";"Transação anulada"
"Apple Watch";"Relógio de Apple"
"Short Description";"Breve descrição"
"Full Description";"Descrição completa"
"Jewellery &amp Watches";"Joalharia Relógios"
Custom;Personalizado
"Dimensions &amp Weight";"Dimensões Peso"
"Length (CM)";"Comprimento (CM)"
"Width (CM)";"Largura (CM)"
"Weight (KG)";"Peso (KG)"
"Height (CM)";"Altura (CM)"
"Combination Name";"Nome de Combinação"
10001;10001
10;10
Color;Cor
Blue;Azul
Size;Tamanho
Large;Grande
Address;Endereço
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Gerar Código"
477-344-1;477-344-1
"This account doesnt have any bank information";"Esta conta não dispor de informação bancária"
Add;Adicionar
"My BPI Bank Account";"Mi conta bancária MPI"
284000000000000;284000000000000
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;Editar
"Bank Account Title";"Nome de Conta Bancária"
UCPB;UCPB
"Allied Bank";"Banco Associado"
"Returned Item Pickup";"A coleta do item devolvido"
Schedule;Programa
02/29/16;02/29/16
"Day Hour";"Jornada de dia"
"eq. 1 Am";"eq. 1 AM"
Why?;Porque?
"Bank Name:";"Nome do Banco:"
Payout;Desembolso
"Buyer ID";"Identificação de Comprador"
"Proceed To Payment";"Proceder ao pagamento"
"Paid - Forwarded";"Pago enviado"
"Shipment Information";"Informação de envio"
Courier;Serviço de entregas
"Boy George Delivery";"Entrega Boy George"
"Date of Shipment";"Data de envio"
"42095";""
"Expected Date of Arrival";"Data prevista de chegada"
"42098";""
"Tracking Number";"Número de rastreamento"
PK-235-137-556;
"Missing Courier";"Mensageiro ausente"
"Last updated on 2015-04-06 17:37:55";"Última atualização em 2015-04-06 17:37:55"
Cancelled;Anulado
"&#8230";"&#8230"
Color:;Cor:
Red;Vermelho
Size:;Tamanho:
Samplenation:;Samplenation:
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;Solucionado
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"Solicitação de cancelamento de itens"
"Order ID 209: Shoulder Bag";"Número de Pedido 209: Saco de tiracolo"
"Posted on 12:30 pm, July 21, 2014";"Apresentado no Julho 21 de 2014, às 12:30pm"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"Aprovar cancelamento"
Reject;Rejeitar
"Select Reason";"Escolher motivo"
"Resolution Center";"Central de soluções"
"Disputed Tag Detected!";"etiqueta contestada detectada!"
attachments;Anexos
"Proceed to Resolution Center";"Proceder à Central de soluções"
"Flagged Tag Detected!";"Etiqueta marcada detectada!"
Approve;Confirmar
"Search By Batch ID/Process By";"Pesquisar por número de lote / Processar por"
"Grand Batch Amount";"Cantidade grande de lote"
"Batch ID";"Número de lote"
Count;Contar
"Process By";"Processar por"
Amount;Cantidade grande de lote
Memo;Nota
Action;Ação
"Are you sure you want to remove payout?";"Você tem certeza de que deseja remover o desembolso?"
Remove;Remover
"Batch Payout";"Desembolso de lote"
"Batch Number";"Número lote"
"Batch Date";"Data lote"
"Write your Remarks";"Escrever às suas observações "
"Attach Files";"Anexar arquivos"
"Upload Receipt";"Carregar recibo"
"Transaction Update List";"Lista atualizada de transações"
"Search by reference number";"Pesquisar por número de referência"
"Request By";"Pedido por"
Method;Método
Bank;Banco
"Bank Info / Pay To";"Informação bancaria / Pagar á"
Charge;Cobrar
"Net Amount";"Valor líquido"
"Total Batch Amount";"Valor total lote"
"Are you sure you want to remove file?";"Você tem certeza de que deseja remover o arquivo?"
"Are you sure you want to remove payout request?";"Você tem certeza de que deseja remover a solicitação de desembolso? "
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Pesquisar (Nome completo de requerente, correio electrónico de requerente, nome de banco, número de conta bancária, número de referência)"
"Order by Date";"Data do pedido"
Ascending;Ascendente
