"Women Clothing";"အမ်ဳိးသမီး အဝတ္အထည္"
"Account Information";"အေကာင့္ အခ်က္အလက္"
"Enter your email here";"သင့္အီးေမးလ္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Your Referral Code";"သင့္ အညႊန္းကုဒ္"
"Copy Link.";"လင့္ခ္ကို ကူးပါ"
"Copy Code";"ကုဒ္ကို ကူးပါ"
"Referral Person";"အညႊန္း လူ"
"Referrers Name:";"ရည္ညႊန္းသူ အမည္ :"
"Referrers Code:";"ရည္ညႊန္းသူ နံပါတ္ :"
Save;သိမ္းဆည္းပါ
"Shipping Address";"ပို႔ေဆာင္ရန္ လိပ္စာ"
"Save Changes";"ေျပာင္းလဲမႈမ်ားကို သိမ္းပါ"
"New Shippping Address";"ပို႔ေဆာင္ရန္ လိပ္စာအသစ္"
"Pin your address to map";"သင့္လိပ္စာကို ေျမပုံေပၚတြင္ တြယ္ထားပါ"
"Home Address";"အိမ္လိပ္စာ"
"Unit Number";"အခန္းနံပါတ္"
"Building Name";"အေဆာင္နံပါတ္"
"Street Number";"လမ္းနံပါတ္"
"Street Name";"လမ္းအမည္"
Subdivision;ျပည္နယ္ခြဲ
"Select your province";"သင့္ခရိုင္ကို ေရြးခ်ယ္ပါ"
"Select your city";"သင့္ျမိဳ႕ကို ေရြးခ်ယ္ပါ"
"Select your Barangay";"သင့္Barangay ကို ေရြးခ်ယ္ပါ"
Zipcode;စာပို႕ကုဒ္
"Select your City";"သင့္ျမိဳ႕ကို ေရြးခ်ယ္ပါ"
"Apply Changes";"ေျပာင္းလဲမႈမ်ားကို လုပ္ေဆာင္ပါ"
"Change Email Address";"အီးေမးလ္လိပ္စာကို ေျပာင္းပါ"
"Enter your new email address here";"သင့္အီးေမးလ္လိပ္စာအသစ္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Confirm your new email address here";"သင့္အီးေမးလ္လိပ္စာအသစ္ကို ဤေနရာတြင္ အတည္ျပဳပါ"
"Change Password";"စကားဝွက္ ေျပာင္းပါ"
"Enter your current password here";"သင့္လက္ရွိစကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Enter your new password here";"သင့္စကားဝွက္အသစ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Confirm your new password here";"သင့္စကားဝွက္အသစ္ကို ဤေနရာတြင္ အတည္ျပဳပါ"
"My Profile";"ကၽြန္ုပ္၏ ပရိုဖိုင္"
Transaction;အေရာင္းအဝယ္
"All Transactions";"အေရာင္းအဝယ္အားလုံး"
On-Delivery;ေပးပို႕ေနသည္
"For Feedback";"တုန္႕ျပန္မႈ အတြက္"
"Crop Photo";"သီးႏွံ ဓာတ္ပုံ"
"Select Products";"ကုန္ပစၥည္းမ်ားအား ေရြးခ်ယ္ပါ"
Category;အမ်ဳိးအစား
"Electronics &amp; Gadgets";"လွ်ပ္စစ္ပစၥည္းမ်ား &amp"
Accessories;ဆက္စပ္ပစၥည္းမ်ား &amp;
"Product to Sell";"ေရာင္းခ်ရန္ ကုန္ပစၥည္း"
"Search item here";"ဤေနရာတြင္ ကုန္ပစၥည္းကို ရွာပါ"
"All Products";"ကုန္ပစၥည္းမ်ား အားလုံး"
"Sample er wer wer wer we rwe r";"နမူနာ er wer wer wer we rwe r"
"Your inbox is currently empty.";"သင့္စာေသတၱာအတြင္း လက္ရွိတြင္ ဘာမွ မရွိပါ။"
"Point Earned";"ပိြဳင့္ဝင္ေငြ"
Breakdown;စိစစ္ျခင္း
"|{1} ပိြဳင　
                                                |]1,Inf[ Points";"|{1} ပိြဳင
                                                |]1,Inf[ ပိြဳင"　
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"သင့္အေရာင္းအဝယ္တစ္ခုတြင္ ျပႆနာရွိေနေသာအား ဘယ္လို အက်ဳိးမဲ့မႈ ျဖစ္ႏိုင္သလဲဆိုတာ ကၽြန္ုပ္တို႕နားလည္ပါတယ္။ YiLinker ကို အသုံးျပဳရသည့္ အက်ဳိးရလဒ္တစ္ခုမွာ သင့္အား လမ္းေၾကာင္းလိုက္ရန္၊ စီမံခန္႕ခြဲရန္ႏွင့္ ေျဖရွင္းေပးရန္အတြက္ ပြင့္လင္းျမင္သာ၍ လ်င္ျမန္စြာ ကူညီေပးႏိုင္ရန္ ကၽြန္ုပ္တို႕၏ ေျဖရွင္းေရး စင္တာ၏ အက်ဳိးေက်းဇူးမ်ားကို ရရွိႏိုင္ျခင္းပင္ျဖစ္ပါသည္။"
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"အျငင္းပြားမႈအတြက္ မေပးပို႕မီ ေက်းဇူးျပဳ၍ အျခားေသာ ပါတီမ်ားႏွင့္ သေဘာတူညီခ်က္ ရွိသည့္ ၾကိဳးပမ္းမႈအားလုံးကို လုပ္ျပီးေၾကာင္း ေသခ်ာပါေစ။ ကၽြန္ုပ္တို႕၏ ကၽြမ္းက်င္သူမ်ားခ်မွတ္ေပးေသာ ဆုံးျဖတ္ခ်က္မ်ားကို ေနာက္ဆုံး စဥ္းစားဆုံးျဖတ္ျပီး ခိုင္လုံမႈ အသစ္ကို ပါတီတစ္ခုခုမွ ေဖာ္ျပခဲ့ျပီးျဖစ္သည့္အခါ ျပန္လည္ဖြင့္ရပါမည္။ ကိစၥရပ္မ်ားကို ျမန္ႏိုင္သမွ်ျမန္ေအာင္ ေျဖရွင္းႏိုင္ဖို႕ ကၽြန္ုပ္တို႕ ၾကိဳးစားေနေသာ္လည္း အခ်ိဳ႕မွာမူ အေျခအေနေပၚမူတည္၍ ၾကာႏိုင္ပါသည္။"
"File a dispute";"အျငင္းပြားမႈဖိုင္ကို ေပးပို႕ပါ"
Cases;အေၾကာင္းအရာမ်ား
"Search By Case Id";"အေၾကာင္းအရာ အိုင္ဒီျဖင့္ ရွာပါ"
Search;ရွာေဖြပါ
Filter;စစ္ထုတ္ပါ
"Case ID";"အေၾကာင္းအရာ အိုင္ဒီ"
"Dispute Title";"အျငင္းပြားမႈ ေခါင္းစဥ္"
Status;အေျခအေန
"Other Party";"အျခားေသာ အဖြဲ႕အစည္း"
"Date Opened";"ဖြင့္ခဲ့ေသာ ေန႔ရက္"
Open;ဖြင့္ပါ
Closed;ပိတ္ထားပါသည္
"No case found";"မည္သည့္ အေၾကာင္းအရာမွ ရွာမေတြ႕ပါ"
"Enter title here";"ေခါင္းစဥ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Dispute Type";"အျငင္းပြားမႈ အမ်ဳိးအစား"
"Select dispute type here";"အျငင္းပြားမႈ အမ်ဳိးအစားကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Transaction No.";"အေရာင္းအဝယ္ နံပါတ္"
"Select transaction here";"အေရာင္းအဝယ္ကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select reason here";"အေၾကာင္းအရင္းကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select item to dispute:";"အေခ်အတင္ ေဆြးေႏြးရန္ ကုန္ပစၥည္းကို ေရြးခ်ယ္ပါ :"
Remarks;မွတ္ခ်က္မ်ား
"Leave your remarks here";"သင့္မွတ္ခ်က္မ်ားကို ဤေနရာတြင္ ခ်န္ခဲ့ပါ"
"Your case has been successfully submitted";"သင့္ကိစၥရပ္မ်ားကို ေအာင္ျမင္စြာ ထည့္သြင္းျပီးပါျပီ"
"To be approved by Admin.";"စီမံခန္႕ခြဲသူမွ လက္ခံအတည္ျပဳရန္"
OPEN;ဖြင့္သည္
CLOSED;ပိတ္ထားသည္
"Dispute Details";"အျငင္းပြားမႈ အေသးစိတ္"
Reason:;အေၾကာင္းအရင္း :
Items:;ကုန္ပစၥည္းမ်ား :
"No remarks";"မွတ္ခ်က္ မရွိပါ"
Contacts;အဆက္အသြယ္မ်ား
Notifications;အသိေပးခ်က္မ်ား
"SMS Notifications";"SMS အသိေပးခ်က္မ်ား"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"သင့္အီးေမးလ္မွ ပုံေသအေနျဖင့္ သင့္မိုဘိုင္းေပၚတြင္ ေစ်းကြက္ ေၾကျငာခ်က္မ်ားကို လက္ခံရရွိႏိုင္ပါသည္။ သင္သည္ SMS အသိေပးခ်က္ကို လက္ခံလိုသည္ မလိုသည္ကို ေရြးခ်ယ္ႏိုင္ပါသည္။"
"Account setting";"အေကာင့္ ခ်ိန္ညိွခ်က္"
"Deactivate My Account";"ကၽြန္ုပ္အေကာင့္အား သက္ဝင္လႈပ္ရွားမႈမွ ရပ္တန္႕ပါ"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"သင္ထြက္သြားသည္ကို ျမင္ရတာ မႏွစ္သက္ေသာ္လည္း သင့္အေကာင့္ကို သက္ဝင္လုပ္ေဆာင္ျခင္း သို႕မဟုတ္ သက္ဝင္လုပ္ေဆာင္မႈမွ ရပ္တန္႕ျခင္းကို သင္စိတ္ၾကိဳက္ ဆုံးျဖတ္ႏိုင္ပါသည္။ သင္ႏွင့္ အေရာင္းအဝယ္လုပ္ျပီးေသာ အျခားလူမ်ားတြင္ သင့္အေရာင္းအဝယ္မွတ္တမ္း အေသးစိတ္ကို ရရွိမည္ျဖစ္ေသာ္လည္း သင့္အမည္ ႏွင့္ ဆက္သြယ္ရန္ နံပါတ္ကို ကန္႕သတ္ထားျခင္းမရွိပါ။ သင္သည္ အနာဂတ္တြင္ သင့္အေကာင့္ကို ျပန္လည္ သက္ဝင္လႈပ္ရွားမႈ ျပဳလုပ္ရန္ ဆႏၵရွိပါက လုပ္ႏိုင္ရန္ ျပန္လည္သက္ဝင္လုပ္ေဆာင္မႈ လင့္ခ္ပါရွိသည့္ အီးေမးလ္ကို လက္ခံရရွိပါလိမ့္မည္။"
"The password you entered is invalid.";"သင္ထည့္သြင္းထားေသာ စကားဝွက္သည္ မခိုင္မာပါ"
"Please enter your password to confirm your account deactivation.";"သင့္အေကာင့္အား သက္ဝင္လႈပ္ရွားမႈမွ ရပ္တန္႕မႈကို အတည္ျပဳရန္ သင့္စကားဝွက္ကို ေက်းဇူးျပဳျပီး ထည့္သြင္းပါ။ "
Deactivate;သက္ဝင္လုပ္ေဆာင္မႈကို ရပ္တန္႕ပါ
"Account has been successfully deactivated.";"အေကာင့္အား ေအာင္ျမင္စြာျဖင့္ သက္ဝင္လုပ္ေဆာင္မႈကို ရပ္တန္႕ျပီးပါျပီ။"
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"သင့္အေကာင့္ကို သင္ျပန္ဖြင့္လိုပါက ဖြင့္ႏိုင္ရန္ သင့္အီးေမးလ္သို႕ ျပန္လည္ သက္ဝင္လႈပ္ရွားမႈ အီးေမးလ္ကို ေပးပို႕ျပီး ျဖစ္ပါသည္။ သင္သည္ ယခု ထြက္သြားပါေတာ့မည္။"
"Are you sure you want to proceed?";"လုပ္ေဆာင္လိုသည္မွာ ေသခ်ာပါသလား။"
"You are about to change the subscription status of your active mobile number.";"သင္၏ သက္ဝင္လုပ္ေဆာင္မႈရွိသည့္ မိုဘိုင္းနံပါတ္၏ ေပးသြင္းေငြ အေျခအေနကို ေျပာင္းလဲႏိုင္ပါသည္။"
"This Year";"ယခုႏွစ္"
"This Week";"ယခုအပတ္"
"This Month";"ယခုလ"
Date;ေန႔ရက္
Qty;အေရအတြက္
"Payment Type";"ေငြေပးေခ်မႈ အမ်ဳိးအစား"
"Order Status";"ေအာ္ဒါ အေျခအေန"
"No transaction available";"မည္သည့္အေရာင္းအဝယ္မွ မရရွိႏိုင္ပါ"
"Go Back";"ျပန္သြားပါ"
"Transaction Number";"အေရာင္းအဝယ္ နံပါတ္"
Details;အေသးစိတ္
"Payment Type:";"ေငြေပးေခ်မႈ အမ်ဳိးအစား :"
"Date Created:";"ဖန္တီးခဲ့ေသာ ေန႔ရက္ :"
"Total Quantity:";"စုစုေပါင္း အေရအတြက္ :"
Subtotal:;စုစုေပါင္း :
"Shipping Fee:";"ပို႕ေဆာင္ခ :"
FREE;အခမဲ့
"Voucher Code:";"ေဘာက္ခ်ာကုဒ္ :"
"Voucher Price Deduction:";"ေဘာက္ခ်ာ ေစ်းႏႈန္း ျဖတ္ေတာက္မႈ :"
"Total Cost:";"စုစုေပါင္း ကုန္က်စရိတ္ :"
"Cancel Order";"ေအာ္ဒါကို ပယ္ဖ်က္ပါ"
"Feedback sent";"တုန္႕ျပန္မႈ ပို႕ျပီး"
"Feedback has been successfully submitted.";"တုန္႕ျပန္မႈကို ေအာင္ျမင္စြာ ထည့္သြင္းျပီးပါျပီ"
Informatio;အခ်က္အလက္
"Upload your document";"သင့္စာရြက္စာတမ္းကို အပ္ေလာဒ့္လုပ္ပါ"
"Only PDF, PNG, JPEG files are accepted";"PDF, PNG, JPEG ဖိုင္မ်ားကိုသာ လက္ခံပါသည္"
Upload;အပ္ေလာဒ့္
"Uploaded Documents";"အပ္ေလာဒ့္လုပ္ထားေသာ ဖိုင္မ်ား"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"သင္ဘာေတြးေနတယ္ဆိုတာ အျခားလူမ်ားသိေစရန္ ဤစတိုးအတြက္ တုန္႔ျပန္ခ်က္ကို ေပါင္းထည့္ပါ။ သင့္ထင္ျမင္ခ်က္မ်ားကို ေျပာျပပါ"
"Communication Rating:";"လူမႈဆက္ဆံေရး သတ္မွတ္ခ်က္ :"
"Quality Rating:";"အရည္အေသြး သတ္မွတ္ခ်က္ :"
"PROMO CODE:";"ပရိုမို ကုဒ္ :"
"Terms and Conditions:";"စည္းမ်ဥ္းစည္းကမ္းမ်ား :"
"Promo Period:";"ပရိုမို ကာလ :"
"SIGN UP NOW";"ယခုပင္ စာရင္းသြင္းလိုက္ပါ"
"SHOP NOW";"ယခုပင္ ဝယ္လိုက္ပါ"
*;*
"Store Location";"စတိုး တည္ေနရာ"
"Need Assistance?";"အကူအညီ လိုအပ္ပါသလား။"
"SEND MESSAGE";"မက္ေဆ့ဂ်္ကို ေပးပို႕ပါ"
"Send Message";"မက္ေဆ့ဂ်္ကို ေပးပို႕ပါ"
"Enter your message here";"သင့္မက္ေဆ့ဂ်္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Unfollow Seller";"ေရာင္းခ်သူအား ေနာက္လိုက္မလုပ္ေတာ့ပါ"
"Follow Seller";"ေရာင္းခ်သူအား ေနာက္လိုက္လုပ္ပါ"
About;အေၾကာင္းအရာ
"What People";"လူေတြက"
"Are saying";"ဘာေျပာသလဲ"
Products;ကုန္ပစၥည္း
"Store Information";"စတိုးအခ်က္အလက္"
Feedbacks;တုန္႕ျပန္မႈမ်ား
"Search For Products";"ကုန္ပစၥည္းမ်ားကို ရွာေဖြပါ"
"Resend Email Verification";"အီးေမးလ္ အတည္ျပဳခ်က္ကို ျပန္လည္ေပးပို႕ပါ"
"Register | YiLinker Online.com";"မွတ္ပုံတင္ပါ | YiLinker Online.com"
"Sign In | YiLinker Online.com";"ဝင္ပါ | YiLinker Online.com"
"All in one place";"တစ္ေနရာတည္းတြင္ ျပီးျပည့္စုံမႈ"
"Shoes in one place";"တစ္ေနရာတည္းရွိ ဖိနပ္မ်ား"
"Camera in one place";"တစ္ေနရာတည္းရွိ ကင္မရာမ်ား"
"Sign in";"ဝင္ပါ"
Register;မွတ္ပုံတင္ပါ
"Password reset success.";"စကားဝွက္ ျပန္လည္သတ္မွတ္မႈ ေအာင္ျမင္ပါသည္"
"Email Verified.";"အီးေမးလ္ အတည္ျပဳျပီး"
"Failed merging account. Please try again later.";"အေကာင့္ ေပါင္းစပ္မႈ မေအာင္ျမင္ပါ။ ေက်းဇူးျပဳ၍ ေနာက္ထပ္ ၾကိဳးစားပါ"
"Failed merging account. Account is already registered.";"အေကာင့္ ေပါင္းစပ္မႈ မေအာင္ျမင္ပါ။ အေကာင့္သည္ မွတ္ပုံတင္ျပီးသား ျဖစ္ပါသည္။"
"Enter your email or contact number here";"သင့္အီးေမးလ္ သို႕မဟုတ္ ဆက္သြယ္ရန္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Remember Me";"ကၽြန္ုပ္အား မွတ္ထားပါ"
"Forgot Password?";"စကားဝွက္ေမ့သြားပါသလား။"
"Sign in with social media";"လူမႈမီဒီယာမွ ဝင္ပါ"
"Merge with Social Media Account";"လူမႈမီဒီယာ အေကာင့္ျဖင့္ ေပါင္းစပ္ပါ"
"Browse our products";"ကၽြန္ုပ္တို႕၏ ကုန္ပစၥည္းမ်ားကို ၾကည့္ရႈပါ"
"Reset Password";"စကားဝွက္ ျပန္လည္သတ္မွတ္ပါ"
"Featured Products";"အထူး ကုန္ပစၥည္းမ်ား"
"12% off";"12% ေလွ်ာ့ေစ်း"
"Yilinker - Category";"Yilinker - အမ်ဳိးအစား"
"Yilinker - Daily Login";"Yilinker - ေန႕စဥ္ အဝင္"
Mechanics:;စက္ပစၥည္းမ်ား :
"Yilinker - Flash Sales";"Yilinker - ေစ်းေရာင္းပြဲ"
BUY;ဝယ္ပါ
"loading more items";"ကုန္ပစၥည္းမ်ားအား ပိုမိုရရွိရန္ လုပ္ေဆာင္ေနပါသည္"
"Yilinker - Product list";"Yilinker - ကုန္ပစၥည္း စာရင္း"
"Yilinker - Store";"Yilinker - စတိုး"


