"click here";"Haga clic aquí"
"out of";"fuera de"
"requirements are already completed";"ya se ha completado las exigencias"
"Frequently Ask Questions";"Preguntas frecuentes"
"Add Product Category";"Añadir categoría de producto"
"Category One";"Categoría uno"
"&nbsp";"&nbsp"
"Add this Category";"Añadir esta categoría"
"Verify Email Address";"Verificar dirección de correo electrónico"
Code;Código
"Resend Verification Code";"Reenviar código de verificación"
Verify;Verificar
"New Store Address";"Nueva dirección de almacenamiento"
"Enter your address line 1 here";"Introduzca aquí su línea 1 de su dirección"
Cancel;Cancelar
Submit;Enviar
Okay;Bien
"Are you sure you want to delete this address";"¿Está seguro que desea eliminar esta dirección?"
Delete;Eliminar
"Progress Overview";"Vista general del progreso"
"This is to ensure that YiLinker is working with only legitimate businesses";"Esto es para asegurarse de que YiLinker trabaja sólo con negocios legítimos"
"Seller Product";"Producto del vendedor"
Category;Categoría uno
Brand;Marca
Warranty;Garantía
Quantity;Cantidad
"Basketball Shoes";"Zapatillas de baloncesto"
"Enter your product brand";"Introduzca su marca del producto"
Yes;Sí
No;No
"Go Back";"Atrás"
Save;Guardar
"AFFILIATE AGREEMENT";"CONTRATO DE AFILIADO"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"Medios publicitarios"
"Affiliate Program";"Programa de afiliados"
"Affiliateâ€™s Website";"Página web de afiliadosâ€™"
Customer;Cliente
EDM;EDM
Marks;Marcas
Merchant;Vendedor
Platform;Plataforma
Site;Página
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"CONTRATO DE SERVICIOS DE VENDEDOR"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Contrato de vendedor"
"Site, Website";"Sitio, Página web"
Payout;Pago
Products;Productos
Buyer;Comprador
"Selling Price";"Precio de venta"
"Corporate Name / Business Name";"Nombre corporativo / Nombre del negocio"
Owner/President;Propietario / Presidente
"Company Phone Number";"Número de teléfono de la empresa"
"Registered Office Address";"Dirección comercial"
"Business Address (If different to registered office)";"Dirección de la empresa (si es diferente de la dirección comercial)"
"Contact Person";"Persona de contacto"
"Phone and Fax";"Teléfono y fax"
"Email Address";"Dirección de correo electrónico"
Website/Facebook/Twitter/Instagram;Página web/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Resumen
"Bank Information";"Información bancaria"
"Edit Bank Account";"Editar cuenta bancaria"
"Bank Account";"Cuenta bancaria"
"Bank Details are Permanent";"Los datos bancarios son permanentes"
"Enter your bank account title here";"Introduzca aquí el título de su cuenta corriente"
"Enter bank here";"Introduzca aquí el banco"
"Account Number";"Número de cuenta"
"Enter your bank account number here";"Introduzca aquí su número de cuenta"
"Account Name";"Nombre de la cuenta"
"Enter your bank account name here";"Introduzca aquí el nombre de la cuenta"
"Are you sure you want to delete this bank account";"¿Está seguro que desea eliminar esta cuenta bancaria?"
Ok;Bien
"Business Information";"Información de la empresa"
"Store Name";"Nombre de la tienda"
"Enter your display name";"Introduzca aquí su nombre de usuario"
"Store Link";"Enlace de tienda"
"Store Name and Store Link are Permanent";"El nombre de la tienda y el enlace de la tienda son permanentes"
"First Name";"Nombre"
"Last Name";"Apellidos"
"Mobile Number";"Número de móvil"
"Company / School";"Empresa / Colegio"
"Current Job / Course & Year Level";"Trabajo actual / Curso y nivel"
TIN;TIN
Address;Dirección
"Edit Address";"Editar dirección"
"Delete Address";"Eliminar dirección"
"Business Website";"Página web de la empresa"
"Ex. https://yourWebSite.com";"Ej. https://yourWebSite.com"
"Social Media Account";"Cuenta de redes sociales"
"Select your Product Categories";"Seleccione las categorías del producto"
"Address Title";"Título de dirección"
"Home Address";"Dirección doméstica"
"Unit Number";"Número de unidades"
"Building Name";"Nombre del edificio"
"Street Number";"Número de la calle"
"Street Name";"Nombre de la calle"
Subdivision;Subdivisión
Province;Provincia
"Select your province";"Seleccione su provincia"
City/Municipal;Ciudad / Municipio
Barangay;Barangay
"Zip Code";"Código postal"
Continue;Continuar
"Legal Information";"Información legal"
"Legal Requirements";"Exigencias legales"
"DTI/SEC Permit";"Permiso DTI/SEC"
"Download DTI/SEC Permit";"Descargar permiso DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"Archivos compatibles: JPEG, PNG y PDF"
"Mayor's Permit";"Permiso del alcalde"
"Download Mayor's Permit";"Descargar permiso del alcalde"
"BIR Permit";"Permiso BIR"
"Download BIR Permit";"Descargar permiso  BIR"
"Select your DTI/SEC Permit file from your computer";"Seleccione su archivo de permiso DTI/SEC desde su ordenador"
"Select your Mayor's Permit file from your computer";"Seleccione su archivo de permiso del alcalde desde su ordenador"
"Select your BIR Permit file from your computer";"Seleccione su archivo de permiso BIR desde su ordenador"
"Other Documents";"Otros documentos"
"Select a document file from your computer";"Seleccione un archivo de documento de su ordenador"
"By Checking this box";"Marcando esta casilla"
"YiLinker's terms and conditions";"Términos y condiciones de YiLinker"
"TIN File";"Archivo TIN"
"Download TIN File";"Descargar archivo TIN"
"SSS File";"Archivo SSS"
"Select Valid ID";"Seleccionar ID válida"
"Download SSS File";"Descargar archivo SSS"
"PAG-IBIG File";"Archivo PAG-IBIG "
"Download PAG-IBIG File";"Descargar archivo PAG-IBIG "
"Postal File";"Archivo postal"
"Download Postal File";"Descargar archivo postal"
"Passport File";"Archivo de pasaporte"
"Download Passport File";"Descargar archivo pasaporte"
"Driver's License File";"Archivo de permiso de conducción"
"Download Driver's License File";"Descargar archivo de permiso de conducción"
"PRC File";"Archivo PRC"
"Download PRC File";"Descargar archivo PRC"
"Voter's ID File";"Archivo de ID de votante"
"Download Voter's ID File";"Descargar archivo de ID de votante"
"School ID File";"Archivo de ID escolar"
"Download School ID File";"Descargar archivo de ID escolar"
"Select your TIN file from your computer";"Seleccione el archivo TIN desde su ordenador"
"Valid ID";"ID válida"
"Select the type of Valid ID you want to upload from your computer";"Seleccione el tipo de ID válida que desee subir desde su ordenador"
"Seller Type:";"Tipo de vendedor:"
Seller;Vendedor
Affiliate;Afiliado
"Owner Name:";"Nombre del propietario:"
"Store Name:";"Nombre de la tienda:"
"Primary Address:";"Dirección principal:"
"Contact Number:";"Número de contacto:"
"Change Content";"Cambiar contenido"
Edit;Editar
Start;Inicio
"Bank Name:";"Nombre del banco:"
"Account Title:";"Título de la cuenta:"
"Account Name:";"Nombre de la cuenta:"
"Account Number:";"Número de cuenta:"
"Document Name";"Nombre del documento"
"Date Uploaded";"Fecha de subida"
Status;Estado
Message;Mensaje
"FORM MA11501 Permit";"FORMULARIO de permiso MA11501"
Others;Otros
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postal
Passport;Pasaporte
"Driver's License";"Permiso de conducción"
PRC;PRC
"Voter's ID";"ID del votante"
"School ID";"ID del colegio"
"Legal Documents";"Documentos legales"
Comments;Comentarios
Close;Cerrar
"Already a member?";"¿Ya es miembro?"
"Sign In";"Iniciar sesión"
"The Question";"La pregunta"
"&#9679";"&#9679"
Benefits;Ventajas
System;Sistema
Support;Soporte
"Want to start-up a business without any investment? Looking for passive income?";"¿Desea iniciar una empresa sin ninguna inversión? ¿Busca unos ingresos pasivos?"
"Sign in";"Iniciar sesión"
Register;Registrarse
"Enter your email or contact number here";"Introduzca aquí su dirección de correo electrónico o número de contacto"
Password;Contraseña
"Forgot Password?";"¿Ha olvidado la contraseña?"
Administrator;Administrador
View;Ver
Hide;Ocultar
"New Bank Account";"Nueva cuenta bancaria"
"Update Bank Account";"Actualizar cuenta bancaria"
Logout;Fin de sesión
"View Store Info";"Ver información de la tienda"
Settings;Configuración
Help;Ayuda
Categories;Categorías
"Current Order:";"Pedido actual:"
"New Category";"Nueva categoría"
"Add new category";"Añadir nueva categoría"
"Delete Categories";"Eliminar categorías"
"Customize Category";"Personalizar categoría"
"Category Name";"Nombre de la categoría"
"Parent Category";"Categoría paterna"
"Select a parent category";"Seleccione una categoría paterna"
"Custom Category Products";"Personalizar productos de la categoría"
"Search item here";"Buscar aquí el elemento"
"All Products";"Todos los productos"
"Total Earning";"Ganancias totales"
"Active Earning";"Ganancias activas"
"Tentative Earning";"Ganancias provisionales"
"Total Withdrew";"Retirada total"
"Search :";"Buscar:"
"Keyword :";"Palabra clave:"
"Type :";"Tipo:"
"Status :";"Estado:"
"Date :";"Fecha:"
"Net Receivables";"Saldos netos"
"Tentative Receivable";"Saldos provisionales"
"Available Balance";"Saldo disponible"
"Available Balance:";"Saldo disponible:"
"Withdrawal Amount:";"Cantidad retirada:"
"Withdrawal Method:";"Método de retirada:"
"Deposit to Bank";"Depósito en banco"
"Deposit To:";"Depósito para:"
"Mobile Number:";"Número de móvil:"
"Confirmation Code:";"Código de confirmación:"
"Confirm Withdrawal";"Confirmar retirada"
"Withdrawal Request List";"Lista de solicitud de retirada"
Date;Fecha
Method;Método de retirada:
"Deposit To/Pay To";"Depositar a / Pagar a"
Requested;Solicitado
"Bank Charge";"Cargos bancarios"
Amount;Cantidad
"Your QR Code";"Su código QR"
"Download your QR Code";"Descargar su código QR"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"Formato SVG"
"How to Earn More";"Cómo ganar más"
Comment;Comentarios
"Earn Per Comment";"Ganar por comentario"
"Bonus Earning";"Ganancia de bonos"
"__1 - 5";"__1 - 5"
"__6 - 20";"__6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - superior"
-;-
"Total Comments";"Comentarios totales"
32;32
"Earning on Comment";"Ganancias por comentario"
Followers;Seguidores
"Earn Per Follower";"Ganar por seguidor"
"__1 - 20";"__1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"Seguidores totales"
106;106
"Earning on Followers";"Ganancias por seguidores"
"Your Referral Code";"Su código de referencia"
100-043-210;100-043-210
"Your Referral Link";"Su enlace de referencia"
"Copy Link";"Copiar enlace"
"Share on Social Media";"Compartir en redes sociales"
"Total Buyer Network";"Red total del comprador"
"Earning on Buyer Network";"Ganancias por red de comprador"
"Affiliate Level";"Nivel de afiliado"
"Store Space";"Espacio de tienda"
Silver;Plataforma
"Below P 5,000";"Inferior a P 5,000"
"150 Products";"150 Productos"
"Current Level";"Nivel actual"
Gold;Oro
"P 5,001 to P 20,000";"P 5,001 hasta P 20,000"
"200 Products";"200 Productos"
Platinum;Platino
"P 20,001 to P 50,000";"P 20,001 hasta P 50,000"
"300 Products";"300 Productos"
Diamond;Diamante
"Above P 50,000";"Superior a P 50,000"
"500 Products";"500 Productos"
Name;Nombre
"Contact Number";"Número de contacto"
Action;Acción
Dashboard;Tablero
"Store Information";"Guardar información"
Transaction;Transacción
"Product Management";"Gestión de productos"
"Customized Category";"Categoría personalizada"
"Upload Product";"Subir producto"
"Select Product";"Seleccionar producto"
Reports;Informes
Messages;Mensajes
"Resolution Center";"Centro de resolución"
"Point Earned";"Puntos ganados"
Breakdown;Análisis
"+ 10 Points";"+ 10 Points"
"- 10 Points";"- 10 Points"
Status:;Estado:
"Seller ID:";"ID del vendedor:"
;
"Total Sales";"Ventas totales"
"Total Net Sales";"Ventas netas totales"
"Buyer Networks";"Redes del comprador"
"Success Transaction";"Éxito en la transacción"
"Total Earnings";"Ganancias totales"
"Search type :";"Tipo de búsqueda:"
"Select Here";"Seleccionar aquí"
"Search keyword here";"Buscar aquí la palabra clave"
"Sales (Tentative/Complete)";"Ventas (provisionales / completas)"
"Invalid (Cancelled/Disputed)";"Inválido (Cancelado / En disputa)"
"Sales Report";"Informe de ventas"
"Recent Earning";"Ganancias recientes"
Description;Descripción
"Transaction Amount";"Cantidad de la transacción"
Charges;Cobros
Receivable;Provisional
"Select Products";"Seleccionar productos"
Sub-Category;Subcategoría
"Select a category to filter the results";"Seleccione una categoría para filtrar los resultados"
"Product to Sell";"Productos a vender"
Details;Detalles
Price:;Precio:
Comission:;Comisión:
"Add to Selected";"Añadir a seleccionados"
"View product";"Ver producto"
Cases;Casos
"Search By Case Id";"Buscar por ID de caso"
Search;Buscar
Filter;Filtrar
"Case ID";"ID de caso"
"Dispute Title";"Título del litigio"
"Other Party";"Otro grupo"
"Date Opened";"Fecha abierta"
Open;Abierto
Closed;Cerrado
"No case found";"No se han encontrado casos"
"Enter title here";"Introduzca aquí el título"
"Select dispute type here";"Seleccione aquí el tipo de litigio"
"Select reason here";"Seleccione aquí el motivo"
"Select transaction here";"Seleccione aquí la transacción"
"Select item to dispute:";"Seleccione el elemento del litigio:"
"Leave your remarks here";"Deje aquí sus comentarios"
OPEN;ABIERTO
CLOSED;CERRADO
Reason:;Motivo:
Notifications;Notificaciones
"Account setting";"Configuración de cuenta"
"Enter your password here";"Introduzca aquí su contraseña"
Deactivate;Desactivar
"This Year";"Este año"
"This Week";"Esta semana"
"This Month";"Este mes"
"Payment Method";"Método de pago"
Qty;Cantidad de la transacción
"Payment Type";"Tipo de pago"
"Order Status";"Estado del pedido"
Total;Total
"Transaction Number";"Número de transacción"
"Payment Type:";"Tipo de pago:"
"Date Created:";"Fecha creada:"
"Total Quantity:";"Cantidad total:"
"Total Product Cost:";"Coste total del producto:"
"Total Shipping Fee:";"Tasa total de envío:"
"Total Cost:";"Coste total:"
"Product List";"Lista de productos"
SKU:;SKU:
Details:;Detalles:
Quantity:;Cantidad:
"Product Price:";"Precio del producto:"
Condition:;Condición:
"Total Price:";"Precio total:"
Brand:;Marca:
Consignee;Consignatario
Consignee:;Consignatario:
Address:;Dirección:
Type;Tipo
"Earning Report";"Informe de ganancias"
Resources;Recursos
Percent;Porcentaje
"View Detail";"Ver detalles"
Weekly;Semanalmente
Monthly;Mensualmente
Earnings;Ganancias
"View All";"Ver todo"
"Total Tentative Earning";"Ganancias provisionales totales"
"Total Complete Earning";"Ganancias completas totales"
"Total Affiliate Network";"Red de afiliados total"
"Earning on Affiliate Network";"Ganancia en la red de afiliados"
"Total Charges";"Cobros totales"
"Total Net Receivables";"Provisional neto total"
"Total Active Receivables";"Provisionales activos totales"
"Requested Amount";"Cantidad solicitada"
"Amount to be Received";"Cantidad a recibir"
All;Todo
"Submit for Review";"Enviar para revisión"
"Activate Product";"Activar producto"
"Deactivate Product";"Desactivar producto"
"Delete Product";"Eliminar producto"
"Date Updated";"Fecha actualizada"
"Product Name";"Nombre del producto"
"Total Quantity";"Cantidad total"
"Product Price";"Precio del producto"
Condition;Condición
Active;Activo
Deleted;Eliminado
Inactive;Inactivo
Draft;Borrador
"Under Review";"Bajo revisión"
Rejected;Rechazado
"Manage your preferences";"Organizar sus preferencias"
"Upload it now";"Subirlo ahora"
"Save as Draft";"Guardar como borrador"
"Product Details";"Detalles del producto"
"Enter product name here";"Introduzca aquí el nombre del producto"
"Short Description";"Descripción breve"
"Enter short product description here";"Introduzca aquí una breve descripción del producto"
"characters remaining";"caracteres restantes"
"Upload Video";"Subir vídeo"
"Enter youtube video url here";"Introducir aquí la url del vídeo de youtube"
Upload;Subir
"Invalid video embed URL";"URL de vídeo insertada no válida"
"Verifying video";"Verificando vídeo"
"Complete Description";"Descripción completa"
"Enter product description here";"Introduzca aquí la descripción del producto"
"Enter brand here";"Introduzca aquí la marca"
"Select Condition";"Seleccione condición"
"Select your Category";"Seleccione su categoría"
"Select Category";"Seleccione la categoría"
"Inventory and Variants";"Inventario y variantes"
"Detail Name";"Detalle del nombre"
Values;Valores
Actions;Acciones
"Product Combinations";"Combinaciones de productos"
Images;Imágenes
Combinations;Combinaciones
Price;Precio
Stocks;Stocks
__0.00;__0.00
"Add Discount";"Añadir descuento"
"Final Price";"Precio final"
"SKU (Stock Keeping Unit)";"SKU (Unidad de almacenamiento en stock)"
"Enter stock keeping unit here";"Introduzca aquí la unidad de almacenamiento en stock"
"You can assign any code in order to keep track of your items";"Puede asignar cualquier código para realizar un seguimiento de sus artículos"
"Number of Stocks Available";"Número de stocks disponibles"
0;0
"Maximum quantity allowed is 999";"La cantidad máxima permitida es 999"
"Dimensions and Weight";"Dimensiones y peso"
"Length (CM)";"Longitud (CM)"
"Height (CM)";"Altura (CM)"
"Width (CM)";"Anchura (CM)"
"Weight (KG)";"Peso (KG)"
"Variant Name";"Nombre de variante"
"Enter keywords here";"Introduzca aquí las palabras clave"
"Variant Choice";"Elección de variante"
"Hit enter to add another";"Pulse intro para añadir otro"
"You can search your category here";"Puede buscar aquí su categoría"
Back;Atrás
Size;Tamaño
"Select Size Here";"Seleccione aquí el tamaño"
"Upload image first";"Suba primero una imagen"
"Variant Successfully Added";"Variante añadida con éxito"
"Crop Photo";"Recortar fotografía"
Crop;Recortar
"All Categories";"Todas las categorías"
"Category Search Suggestion";"Sugerencia de búsqueda por categoría"
Select;Seleccionar
"&larr";"&larr"
Photos;Fotografías
"Full Description";"Descripción completa"
"See More";"Ver más"
Video;Vídeo
Category:;Categoría:
"Regular Price:";"Precio normal:"
"Discounted Price:";"Precio con descuento:"
Commission:;Comisión:
"Length (CM):";"Longitud (CM):"
"Width (CM):";"Anchura (CM):"
"Height (CM):";"Altura (CM):"
"Weight (KG):";"Peso (KG):"
"Additional Details";"Detalles adicionales"
"Edit Product";"Editar producto"
Email;Correo electrónico
"Enter your email here";"Introduzca aquí su correo electrónico"
Change;Cambiar
"Click here to verify";"Haga clic aquí para verificar"
"Change Email Address";"Cambiar dirección de correo electrónico"
"Enter your new email address here";"Introduzca aquí su nueva dirección de correo electrónico"
"Confirm your new email address here";"Confirme aquí su nueva dirección de correo electrónico"
"Change Password";"Cambiar contraseña"
"Current Password";"Contraseña actual"
"Enter your current password here";"Introduzca aquí su nueva contraseña"
"New Password";"Nueva contraseña"
"Confirm New Password";"Confirmar la nueva contraseña"
"Confirm your new password here";"Confirme aquí su nueva contraseña"
"All in one place";"Todo en un solo lugar"
"Invalid email/contact number or password.";"Correo electrónico / número de contacto o contraseña no válidos."
"Email Verified.";"Correo electrónico verificado."
"Password reset success.";"Éxito al reestablecer la contraseña."
"Enter your email contact number here";"Introduzca aquí si número de contacto y correo electrónico"
"Remember Me";"Recordarme"
"Copyright 2015 YiLinker. All Rights Reserved";"Copyright 2015 YiLinker. Reservados todos los derechos"
"Reset password request sent";"Solicitud de reestablecimiento de contraseña enviada"
"Reset Password";"Restablecer contraseña"
"Confirm new password";"Confirmar nueva contraseña"
"Verify Number";"Verificar número"
"Profile Photo";"Fotografía del perfil"
"Select an image from your computer (10mb max)";"Seleccione una imagen desde su ordenador (10mb máximo)"
"Cover Photo";"Cubrir fotografía"
"Enter your store name here";"Introduzca aquí el nombre de la tienda"
"Mobile Phone";"Teléfono móvil"
"Enter your mobile number here";"Introduzca aquí su número de móvil"
"Enter your store slug here";"Introduzca aquí el slug de su tienda"
"Store Description";"Descripción de la tienda"
"Enter your store description here";"Introduzca aquí la descripción de la tienda"
"Save Changes";"Guardar cambios"
Undo;Deshacer
"Select your categories";"Seleccione sus categorías"
"QR Code";"Código QR"
"Share with";"Compartir con"
"Generate your QR Code";"Genere su código QR"
"Copy Link.";"Copiar enlace."
"Copy Code";"Copiar código"
"Referral Person";"Persona de referencia"
"Referrers Name:";"Nombre de las personas de referencia:"
"Referrers Code:";"Código de las personas de referencia:"
"Change Mobile Number";"Cambiar número de móvil"
"Old Number";"Número antiguo"
"Enter New Number";"Introduzca el número nuevo"
"Enter your new number here";"Introduzca aquí su número nuevo"
"Time Left:";"Tiempo restante:"
0.208333333333333;0.208333333333333
"Enter Code";"Introducir código"
"Crop Profile Photo";"Recortar fotografía de perfil"
"Crop Cover Photo";"Recortar fotografía de portada"
"Share via Email";"Compartir vía correo electrónico"
"Enter recipient email here. Separated with commas.";"Introduzca aquí el correo electrónico del receptor. Separado por comas."
"Enter your message here";"Introduzca aquí su mensaje"
"Personal Information";"Información personal"
"Enter your first name here";"Introduzca aquí su nombre"
"Enter your last name here";"Introduzca aquí su apellido"
"TIN ID:";"ID de TIN:"
"Enter your TIN here";"Introduzca aquí su TIN"
"Upload Valid ID Photo:";"Subir fotografía de ID válida:"
"You already uploaded your valid ID";"Ya ha subido una ID válida"
"Why am i being asked for my TIN?";"¿Por qué se me solicita mi TIN?"
"Enter your address title here";"Introduzca aquí el título de su dirección"
"Enter your address unit number here";"Introduzca aquí el número de la unidad de su dirección"
"Enter your address building name here";"Introduzca aquí el nombre del edificio de su dirección"
"Enter your address street number here";"Introduzca aquí el número de la calle de su dirección"
"Enter your address street name here";"Introduzca aquí el nombre de la calle de su dirección"
"Enter your address subdivision here";"Introduzca aquí la subdivisión de su dirección"
"Select your city";"Seleccione su ciudad"
"Select your barangay";"Seleccione su barangay"
"Enter your zip code here";"Introduzca aquí su código postal"
"Do you want to set this new address as the default location for every Product Pick-up request?";"¿Desea fijar esta nueva dirección como la ubicación por defecto para cada solicitud de recogida de producto?"
"Update Shipping Address";"Actualizar dirección de envío"
