"click here"; "Klik di sini"
"out of"; "dari"
"requirements are already completed"; "persyaratan sudah selesai"
"Frequently Ask Questions"; "Pertanyaan Umum"
"Add Product Category"; "Tambahkan kategori produk"
"Category One"; "Kategori satu"
"&nbsp;"; "&nbsp;"
"Add this Category"; "Tambahkan kategori ini"
"Verify Email Address"; "Memverifikasi alamat Email"
Code;Kode
"Resend Verification Code"; "Kirim ulang kode verifikasi"
Verify;Memverifikasi
"New Store Address"; "Alamat toko baru"
"Enter your address line 1 here"; "Masukkan alamat baris Anda 1 di sini"
Cancel;Batal
Submit;Kirim
Okay;Oke
"Are you sure you want to delete this address"; "Apakah Anda yakin Anda ingin menghapus alamat ini"
Delete;Hapus
"Progress Overview"; "Kemajuan Ikhtisar"
"This is to ensure that YiLinker is working with only legitimate businesses"; "Hal ini untuk memastikan bahwa YiLinker bekerja dengan perusahaan yang hanya sah"
"Seller Product"; "Penjual produk"
Category;Kategori
Brand;Merek
Warranty;Garansi
Quantity;Kuantitas
"Basketball Shoes"; "Sepatu basket"
"Enter your product brand"; "Masukkan merek produk Anda"
Yes;Ya
No;Tidak
"Go Back"; "Kembali"
Save;Simpan
"AFFILIATE AGREEMENT"; "PERJANJIAN AFILIASI"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"; "6/F lima E-com, Mall of Asia, Pasifik Drive, Pasay City"
"Advertising Media"; "Media iklan"
"Affiliate Program"; "Program Afiliasi"
"Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs""Affiliate鈥檚 Website"; "Afiliasi â€™ s situs"
Customer;Pelanggan
EDM;EDM
Marks;Tanda
Merchant;Pedagang
Platform;peron
Site;Situs
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT"; "PERJANJIAN PEDAGANG"
"6/F Five E-com, Mall of Asia, Pacific Drive"; "6/F lima E-com, Mall of Asia, Pasifik Drive"
"Merchant Agreement"; "Perjanjian pedagang"
"Site, Website"; "Situs, situs web"
Payout;Pembayaran
Products;Produk
Buyer;Pembeli
"Selling Price"; "Harga Jual"
"Corporate Name / Business Name"; "Nama perusahaan / bisnis nama"
Owner/President;Pemilik/Presiden
"Company Phone Number"; "Telp perusahaan"
"Registered Office Address"; "Alamat Kantor terdaftar"
"Business Address (If different to registered office)"; "Alamat bisnis (jika berbeda untuk kantor terdaftar)"
"Contact Person"; "Kontak Person"
"Phone and Fax"; "Telepon dan Faks"
"Email Address"; "Alamat email"
Website/Facebook/Twitter/Instagram;Website/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Ringkasan
"Bank Information"; " Bank Informasi"
"Edit Bank Account"; "Mengedit rekening Bank"
"Bank Account"; "Rekening bank"
"Bank Details are Permanent"; "Rincian bank yang permanen"
"Enter your bank account title here"; "Masukkan judul rekening bank Anda di sini"
"Enter bank here"; "Masukkan bank disini"
"Account Number"; "Nomor rekening"
"Enter your bank account number here"; "Masukkan nomor rekening bank Anda di sini"
"Account Name"; "Nama account"
"Enter your bank account name here"; "Masukkan nama rekening bank Anda di sini"
"Are you sure you want to delete this bank account"; "Apakah Anda yakin Anda ingin menghapus akun bank ini"
Ok;Oke
"Business Information"; "Informasi bisnis"
"Store Name"; "Nama toko"
"Enter your display name"; "Masukkan nama tampilan"
"Store Link"; "Link Toko"
"Store Name and Store Link are Permanent"; "Nama toko dan toko Link yang permanen"
"First Name"; "Nama pertama"
"Last Name"; "Nama belakang"
"Mobile Number"; "Nomer HP"
"Company / School"; "Perusahaan / sekolah"
"Current Job / Course & Year Level"; "Pekerjaan sekarang / Lapangan & tahun tingkat"
TIN;TIN
Address;Alamat
"Edit Address"; "Mengedit alamat"
"Delete Address"; "Menghapus alamat"
"Business Website"; "Website Bisnis"
"Ex. https://yourWebSite.com"; "Keluaran https://yourWebSite.com"
"Social Media Account"; "Media sosial akun"
"Select your Product Categories"; "Pilih kategori produk Anda"
"Address Title"; "Alamat judul"
"Home Address"; "Alamat rumah"
"Unit Number"; "Jumlah unit"
"Building Name"; "Nama Gedung"
"Street Number"; "Jalan"
"Street Name"; "Nama jalan"
Subdivision;Subdivisi
Province;Provinsi
"Select your province"; "Pilih Propinsi Anda"
City/Municipal;City Municipal
Barangay;Barangay
"Zip Code"; "Kode pos"
Continue;Lanjutkan
"Legal Information"; "Informasi hukum"
"Legal Requirements"; "Persyaratan hukum"
"DTI/SEC Permit"; "Izin DTI/SEC"
"Download DTI/SEC Permit"; "Download izin DTI/SEC"
"Compatible files: JPEG, PNG and PDF"; "File yang kompatibel: JPEG, PNG dan PDF"
"Mayor's Permit"; "Walikota izin"
"Download Mayor's Permit"; "Download Walikota izin"
"BIR Permit"; "BIR izin"
"Download BIR Permit"; "Download BIR izin"
"Select your DTI/SEC Permit file from your computer"; "Pilih file DTI SEC mengizinkan Anda dari komputer Anda"
"Select your Mayor's Permit file from your computer"; "Pilih Anda Walikota izin file dari komputer Anda"
"Select your BIR Permit file from your computer"; "Pilih file BIR izin Anda dari komputer Anda"
"Other Documents"; "Dokumen lainnya"
"Select a document file from your computer"; "Pilih file dokumen dari komputer Anda"
"By Checking this box"; "Dengan mencentang kotak ini"
"YiLinker's terms and conditions"; "YiLinker's syarat dan ketentuan"
"TIN File"; "TIN data"
"Download TIN File"; "Download File timah"
"SSS File"; "SSS File"
"Select Valid ID"; "Pilih Valid ID"
"Download SSS File"; "Download SSS File"
"PAG-IBIG File"; "PAG-IBIG File"
"Download PAG-IBIG File"; "Download File PAG-IBIG"
"Postal File"; "Pos File"
"Download Postal File"; "Download File pos"
"Passport File"; "Paspor File"
"Download Passport File"; "Download File paspor"
"Driver's License File"; "File lisensi pengemudi"
"Download Driver's License File"; "Men-download File lisensi pengemudi"
"PRC File"; "RRC File"
"Download PRC File"; "Download File RRC"
"Voter's ID File"; "Pemilih ID File"
"Download Voter's ID File"; "Download File ID pemilih"
"School ID File"; "Sekolah ID File"
"Download School ID File"; "File Download sekolah ID"
"Select your TIN file from your computer"; "Pilih file timah dari komputer Anda"
"Valid ID"; "Valid ID"
"Select the type of Valid ID you want to upload from your computer"; "Pilih jenis ID Valid yang ingin Anda upload dari komputer Anda"
"Seller Type:"; "Jenis Penjual:"
Seller;Penjual
Affiliate;Afiliasi
"Owner Name:"; "Nama pemilik:"
"Store Name:"; "Nama toko:"
"Primary Address:"; "Alamat primer:"
"Contact Number:"; "Nomor kontak:"
"Change Content"; "Mengubah konten"
Edit;Mengedit
Start;Mulai
"Bank Name:"; "Nama Bank:"
"Account Title:"; "Judul akun:"
"Account Name:"; "Nama rekening:"
"Account Number:"; "Nomor rekening:"
"Document Name"; "Nama dokumen"
"Date Uploaded"; "Tanggal upload"
Status;Status
Message;Pesan
"FORM MA11501 Permit"; "BENTUK MA11501 izin"
Others;Lain
SSS;SSS
"PAG IBIG"; "PAG IBIG"
Postal;Pos
Passport;Paspor
"Driver's License"; "SIM"
PRC;RRC
"Voter's ID"; "Pemilih ID"
"School ID"; "Sekolah ID"
"Legal Documents"; "Dokumen-dokumen hukum"
Comments;Komentar
Close;Tutup
"Already a member?"; "Sudah menjadi anggota?"
"Sign In"; "Tandatangan"
"The Question"; "Pertanyaan"
"&#9679;"; "&#9679;"
Benefits;Manfaat
System;Sistem
Support;Dukungan
"Want to start-up a business without any investment? Looking for passive income?"; "Ingin start-up Bisnis tanpa investasi apapun? Mencari penghasilan pasif?"
"Sign in"; "Tandatangan"
Register;Daftar
"Enter your email or contact number here"; "Masukkan email Anda atau nomor kontak berikut"
Password;Sandi
"Forgot Password?"; "Lupa Password?"
Administrator;Administrator
View;Pemandangan
Hide;Sembunyikan
"New Bank Account"; "Rekening Bank baru"
"Update Bank Account"; "Memperbarui rekening Bank"
Logout;Logout
"View Store Info"; "Lihat toko Info"
Settings;Pengaturan
Help;Tolong
Categories;Kategori
"Current Order:"; "Saat ini Order:"
"New Category"; "Kategori baru"
"Add new category"; "Tambahkan kategori baru"
"Delete Categories"; "Menghapus kategori"
"Customize Category"; "Menyesuaikan Kategori"
"Category Name"; "Nama kategori"
"Parent Category"; "Parent Kategori"
"Select a parent category"; "Pilih kategori induk"
"Custom Category Products"; "Kustom kategori produk"
"Search item here"; "Mencari item di sini"
"All Products"; "Semua produk"
"Total Earning"; "Tuntas penghasilan"
"Active Earning"; "Mendapatkan aktif"
"Tentative Earning"; "Tentatif penghasilan"
"Total Withdrew"; "Tuntas mengundurkan diri"
"Search :"; "Cari:"
"Keyword :"; "Kata kunci:"
"Type :"; "Jenis:"
"Status :"; "Status:"
"Date :"; "Tanggal:"
"Net Receivables"; "Tagihan bersih"
"Tentative Receivable"; "Tentatif piutang"
"Available Balance"; "Saldo yang tersedia"
"Available Balance:"; "Saldo yang tersedia:"
"Withdrawal Amount:"; "Jumlah Withdrawal:"
"Withdrawal Method:"; "Metode withdrawal:"
"Deposit to Bank"; "Deposito untuk Bank"
"Deposit To:"; "Penyetoran ke:"
"Mobile Number:"; "Nomer HP:"
"Confirmation Code:"; "Kode konfirmasi:"
"Confirm Withdrawal"; "Konfirmasi penarikan"
"Withdrawal Request List"; "Daftar permintaan penarikan"
Date;Tanggal
Method;Metode
"Deposit To/Pay To"; "Deposito / bayar untuk"
Requested;Diminta
"Bank Charge"; "Biaya bank"
Amount;Jumlah
"Your QR Code"; "Kode QR"
"Download your QR Code"; "Men-download kode QR"
"240 x 240"; "240 x 240"
"480 x 480"; "480 x 480"
"960 x 960"; "960 x 960"
"1920 x 1920"; "1920 x 1920"
"SVG Format"; "SVG Format"
"How to Earn More"; "Bagaimana untuk memperoleh lebih"
Comment;Komentar
"Earn Per Comment"; "Penghasilan Per komentar"
"Bonus Earning"; "Mendapatkan bonus"
"1 - 5"; "1 - 5"
"6 - 20"; "6 - 20"
"21 - 50"; "21 - 50"
"51 - 100"; "51 - 100"
"100 - 500"; "100 - 500"
"501 - above"; "501 - di atas"
-;-
"Total Comments"; "Jumlah komentar"
32;32
"Earning on Comment"; "Penghasilan pada komentar"
Followers;Pengikut
"Earn Per Follower"; "Penghasilan Per pengikut"
"1 - 20"; "1 - 20"
"101 - 500"; "101 - 500"
"501 - 2,000"; "501 - 2,000"
"Total Followers"; "Total pengikutnya"
106;106
"Earning on Followers"; "Penghasilan pada pengikut"
"Your Referral Code"; "Kode referal Anda"
100-043-210;100-043-210
"Your Referral Link"; "Link Referral Anda"
"Copy Link"; "Copy Link"
"Share on Social Media"; "Berbagi di Media sosial"
"Total Buyer Network"; "Jaringan Total pembeli"
"Earning on Buyer Network"; "Penghasilan pada pembeli jaringan"
"Affiliate Level"; "Afiliasi tingkat"
"Store Space"; "Menyimpan Space"
Silver;Perak
"Below P 5,000"; "Di bawah P 5,000"
"150 Products"; "150 produk"
"Current Level"; "Saat ini tingkat"
Gold;Emas
"P 5,001 to P 20,000"; "P 5,001 untuk P 20,000"
"200 Products"; "200 produk"
Platinum;Platinum
"P 20,001 to P 50,000"; "P 20,001 untuk P 50,000"
"300 Products"; "300 produk"
Diamond;Berlian
"Above P 50,000"; "Di atas P 50,000"
"500 Products"; "500 produk"
Name;Nama
"Contact Number"; "Nomor kontak"
Action;Aksi
Dashboard;Dasbor
"Store Information"; "Menyimpan informasi"
Transaction;Transaksi
"Product Management"; "Manajemen produk"
"Customized Category"; "Kategori disesuaikan"
"Upload Product"; "Meng-upload produk"
"Select Product"; "Pilih produk"
Reports;Laporan
Messages;Pesan
"Resolution Center"; "Resolusi Pusat"
"Point Earned"; "Titik yang diterima"
Breakdown;Rincian
"+ 10 Points"; "+ 10 poin"
"- 10 Points"; "-10 poin"
Status:;Status:
"Seller ID:"; "ID Penjual:"
;
"Total Sales"; "Total penjualan"
"Total Net Sales"; "Total penjualan bersih"
"Buyer Networks"; "Pembeli jaringan"
"Success Transaction"; "Transaksi sukses"
"Total Earnings"; "Total penghasilan"
"Search type :"; "Jenis pencarian:"
"Select Here"; "Pilih di sini"
"Search keyword here"; "Cari kata kunci di sini"
"Sales (Tentative/Complete)"; "Penjualan (tentatif/lengkap)"
"Invalid (Cancelled/Disputed)"; "Batal (dibatalkan/masih diperdebatkan)"
"Sales Report"; "Laporan penjualan"
"Recent Earning"; "Penghasilan terakhir"
Description;Deskripsi
"Transaction Amount"; "Jumlah transaksi"
Charges;Biaya
Receivable;Piutang
"Select Products"; "Pilih produk"
Sub-Category;Sub-Kategori
"Select a category to filter the results"; "Pilih sebuah kategori untuk menyaring hasil"
"Product to Sell"; "Produk untuk Jual"
Details;Rincian
Price:;Harga:
Comission:;Komisi:
"Add to Selected"; "Tambahkan ke dipilih"
"View product"; "Lihat produk"
Cases;Kasus
"Search By Case Id"; "Pencarian dengan Id kasus"
Search;Cari
Filter;Penyaring
"Case ID"; "Kasus ID"
"Dispute Title"; "Sengketa judul"
"Other Party"; "Pihak lain"
"Date Opened"; "Tanggal dibuka"
Open;Buka
Closed;Ditutup
"No case found"; "Tidak ditemukan"
"Enter title here"; "Masukkan judul di sini"
"Select dispute type here"; "Pilih jenis sengketa di sini"
"Select reason here"; "Pilih alasan berikut"
"Select transaction here"; "Pilih transaksi di sini"
"Select item to dispute:"; "Pilih item untuk sengketa:"
"Leave your remarks here"; "Tinggalkan komentar Anda di sini"
OPEN;BUKA
CLOSED;DITUTUP
Reason:;Alasan:
Notifications;Pemberitahuan
"Account setting"; "Pengaturan akun"
"Enter your password here"; "Masukkan sandi Anda di sini"
Deactivate;Menonaktifkan
"This Year"; "Tahun ini"
"This Week"; "Minggu ini"
"This Month"; "Bulan ini"
"Payment Method"; "Metode pembayaran"
Qty;Qty
"Payment Type"; "Jenis pembayaran"
"Order Status"; "Status pesanan"
Total;Total
"Transaction Number"; "Nomor transaksi"
"Payment Type:"; "Jenis pembayaran:"
"Date Created:"; "Tanggal Buat:"
"Total Quantity:"; "Jumlah total:"
"Total Product Cost:"; "Biaya total Produk:"
"Total Shipping Fee:"; "Biaya pengiriman Total:"
"Total Cost:"; "Total biaya:"
"Product List"; "Daftar produk"
SKU:;SKU:
Details:;Rincian:
Quantity:;Jumlah:
"Product Price:"; "Harga produk:"
Condition:;Kondisi:
"Total Price:"; "Total Harga:"
Brand:;Merek:
Consignee;Consignee
Consignee:;Consignee
Address:;Alamat:
Type;Jenis
"Earning Report"; "Mendapatkan laporan"
Resources;Sumber daya
Percent;Persen
"View Detail"; "Lihat Detail"
Weekly;Mingguan
Monthly;Bulanan
Earnings;Penghasilan
"View All"; "Lihat semua"
"Total Tentative Earning"; "Total penghasilan tentatif"
"Total Complete Earning"; "Total penghasilan lengkap"
"Total Affiliate Network"; "Total afiliasi jaringan"
"Earning on Affiliate Network"; "Penghasilan di afiliasi jaringan"
"Total Charges"; "Total biaya"
"Total Net Receivables"; "Total tagihan bersih"
"Total Active Receivables"; "Total aktif piutang"
"Requested Amount"; "Minta jumlah"
"Amount to be Received"; "Jumlah yang diterima"
All;Semua
"Submit for Review"; "Kirim untuk Review"
"Activate Product"; "Mengaktifkan produk"
"Deactivate Product"; "Menonaktifkan produk"
"Delete Product"; "Menghapus produk"
"Date Updated"; "Diperbarui tanggal"
"Product Name"; "Nama Produk"
"Total Quantity"; "Jumlah total"
"Product Price"; "Harga produk"
Condition;Kondisi
Active;Aktif
Deleted;Dihapus
Inactive;Tidak aktif
Draft;Rancangan
"Under Review"; "Di bawah Review"
Rejected;Ditolak
"Manage your preferences"; "Mengelola preferensi"
"Upload it now"; "Meng-upload sekarang"
"Save as Draft"; "Simpan sebagai Draft"
"Product Details"; "Detail produk"
"Enter product name here"; "Masukkan nama produk di sini"
"Short Description"; "Deskripsi singkat"
"Enter short product description here"; "Masukkan keterangan singkat produk di sini"
"characters remaining"; "karakter tersisa"
"Upload Video"; "Meng-upload Video"
"Enter youtube video url here"; "Masukkan url video youtube di sini"
Upload;Meng-upload
"Invalid video embed URL"; "Embed video tidak valid URL"
"Verifying video"; "Memverifikasi video"
"Complete Description"; "Deskripsi lengkap"
"Enter product description here"; "Masukkan keterangan produk di sini"
"Enter brand here"; "Masukkan merek di sini"
"Select Condition"; "Pilih kondisi"
"Select your Category"; "Pilih kategori Anda"
"Select Category"; "Pilih kategori"
"Inventory and Variants"; "Persediaan dan varian"
"Detail Name"; "Nama detail"
Values;Nilai
Actions;Tindakan
"Product Combinations"; "Kombinasi produk"
Images;Gambar
Combinations;Kombinasi
Price;Harga
Stocks;Saham
0.00;0
"Add Discount"; "Tambahkan DISKON"
"Final Price"; "Harga akhir"
"SKU (Stock Keeping Unit)"; "SKU (Stock menjaga Unit)"
"Enter stock keeping unit here"; "Masukkan menjaga stok unit di sini"
"You can assign any code in order to keep track of your items"; "Anda dapat menetapkan setiap kode untuk menjaga melacak yang item Anda"
"Number of Stocks Available"; "Jumlah saham yang tersedia"
0;0
"Maximum quantity allowed is 999"; "Jumlah maksimum yang diizinkan adalah 999"
"Dimensions and Weight"; "Dimensi dan berat"
"Length (CM)"; "Panjang (CM)"
"Height (CM)"; "Tinggi (CM)"
"Width (CM)"; "Lebar (CM)"
"Weight (KG)"; "Berat (KG)"
"Variant Name"; "Varian nama"
"Enter keywords here"; "Masukkan kata kunci di sini"
"Variant Choice"; "Varian pilihan"
"Hit enter to add another"; "Tekan enter untuk menambahkan"
"You can search your category here"; "Anda dapat mencari kategori Anda di sini"
Back;Kembali
Size;Ukuran
"Select Size Here"; "Pilih ukuran"
"Upload image first"; "Meng-upload gambar pertama"
"Variant Successfully Added"; "Varian yang berhasil ditambahkan"
"Crop Photo"; "Foto tanaman"
Crop;Tanaman
"All Categories"; "Semua Kategori"
"Category Search Suggestion"; "Kategori Cari saran"
Select;Pilih
"&larr;"; "&larr;"
Photos;Foto
"Full Description"; "Deskripsi lengkap"
"See More"; "Lihat lebih lanjut"
Video;Video
Category:;Kategori:
"Regular Price:"; "Harga reguler:"
"Discounted Price:"; "Potongan harga:"
Commission:;Komisi:
"Length (CM):"; "Panjang (CM):"
"Width (CM):"; "Lebar (CM):"
"Height (CM):"; "Tinggi (CM):"
"Weight (KG):"; "Berat (KG):"
"Additional Details"; "Rincian tambahan"
"Edit Product"; "Mengedit produk"
Email;Email
"Enter your email here"; "Masukkan email Anda di sini"
Change;Perubahan
"Click here to verify"; "Klik di sini untuk memverifikasi"
"Change Email Address"; "Ubah Alamat Email"
"Enter your new email address here"; "Masukkan alamat email yang baru di sini"
"Confirm your new email address here"; "Konfirmasi alamat email yang baru di sini"
"Change Password"; "Ubah sandi"
"Current Password"; "Sandi"
"Enter your current password here"; "Masukkan sandi anda saat ini di sini"
"New Password"; "Password baru"
"Confirm New Password"; "Konfirmasi sandi baru"
"Confirm your new password here"; "Konfirmasi sandi baru di sini"
"All in one place"; "Semua dalam satu tempat"
"Invalid email/contact number or password."; "Tidak valid email/kontak nomor atau kata sandi."
"Email Verified."; "Email diverifikasi."
"Password reset success."; "Membuat ulang sandi sukses"
"Enter your email contact number here"; "Masukkan nomor kontak email di sini"
"Remember Me"; "Ingat saya"
"Copyright 2015 YiLinker. All Rights Reserved"; "Hak cipta 2015 YiLinker. Semua Hak, Milik"
"Reset password request sent"; "Reset password permintaan yang dikirim"
"Reset Password"; "Membuat ulang sandi"
"Confirm new password"; "Konfirmasi sandi baru"
"Verify Number"; "Memverifikasi nomor"
"Profile Photo"; "Foto profil"
"Select an image from your computer (10mb max)"; "Pilih gambar dari komputer Anda (maks 10mb)"
"Cover Photo"; "Foto sampul"
"Enter your store name here"; "Masukkan nama toko di sini"
"Mobile Phone"; "Ponsel"
"Enter your mobile number here"; "Masukkan nomor ponsel Anda di sini"
"Enter your store slug here"; "Masukkan Anda slug Toko di sini"
"Store Description"; "Store Deskripsi"
"Enter your store description here"; "Masukkan uraian toko Anda di sini"
"Save Changes"; "Simpan perubahan"
Undo;Membatalkan
"Select your categories"; "Pilih kategori"
"QR Code"; "Kode QR"
"Share with"; "Berbagi dengan"
"Generate your QR Code"; "Menghasilkan kode QR"
"Copy Link."; "Salin link"
"Copy Code"; "Salin kode"
"Referral Person"; "Arahan orang"
"Referrers Name:"; "Nama Referer:"
"Referrers Code:"; "Referer kode:"
"Change Mobile Number"; "Ganti nomor HP"
"Old Number"; "Nomor lama"
"Enter New Number"; "Masukkan nomor baru"
"Enter your new number here"; "Masukkan nomor baru di sini"
"Time Left:"; "Waktu pergi:"
5:00;5:00
"Enter Code"; "Masukkan kode"
"Crop Profile Photo"; "Foto profil tanaman"
"Crop Cover Photo"; "Foto sampul tanaman"
"Share via Email"; "Berbagi melalui Email"
"Enter recipient email here. Separated with commas."; "Masukkan email penerima di sini. Dipisahkan dengan tanda koma."
"Enter your message here"; "Masukkan pesan Anda di sini"
"Personal Information"; "Informasi pribadi"
"Enter your first name here"; "Masukkan nama pertama Anda di sini"
"Enter your last name here"; "Masukkan nama terakhir di sini"
"TIN ID:"; "TIMAH ID:"
"Enter your TIN here"; "Masukkan di sini TIN"
"Upload Valid ID Photo:"; "Meng-upload foto Valid ID:"
"You already uploaded your valid ID"; "Anda sudah upload ID Anda valid"
"Why am i being asked for my TIN?"; "Mengapa saya diminta untuk TIN saya?"
"Enter your address title here"; "Masukkan judul alamat Anda di sini"
"Enter your address unit number here"; "Masukkan nomor unit alamat berikut"
"Enter your address building name here"; "Masukkan alamat Anda membangun nama di sini"
"Enter your address street number here"; "Masukkan alamat jalan nomor di sini"
"Enter your address street name here"; "Masukkan alamat nama jalan di sini"
"Enter your address subdivision here"; "Masukkan subdivisi alamat Anda di sini"
"Select your city"; "Pilih kota Anda"
"Select your barangay"; "Pilih barangay Anda"
"Enter your zip code here"; "Masukkan kode pos Anda di sini"
"Do you want to set this new address as the default location for every Product Pick-up request?"; "Apakah Anda ingin menetapkan alamat baru ini sebagai lokasi default untuk setiap permintaan produk Pick-up?"
"Update Shipping Address"; "Pemutakhiran alamat pengiriman"
