"click here";"ဤေနရာကို ႏွိပ္ပါ"
"Resolution Center";"ေျဖရွင္းေရး စင္တာ"
"Point Earned";"ပိြဳင့္ဝင္ေငြ"
Breakdown;စိစစ္ျခင္း
"+ 10 Points";"+ 10 ပိြဳင့္"
"- 10 Points";"- 10 ပိြဳင့္"
Status:;အေျခအေန :
"Seller ID:";"ေရာင္းခ်သူ အိုင္ဒီ :"
;
"Total Sales";"စုစုေပါင္း ေရာင္းခ်မႈ"
"Total Net Sales";"စုစုေပါင္း အသားတင္ ေရာင္းခ်မႈ"
"Buyer Networks";"ဝယ္သူ ကြန္ယက္"
"Success Transaction";"အေရာင္းအဝယ္ ေအာင္ျမင္ပါသည္"
"Total Earnings";"စုစုေပါင္း ဝင္ေငြ"
"Search type :";"ရွာေဖြမႈ အမ်ဳိးအစား :"
"Select Here";"ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Search keyword here";"ဤေနရာတြင္ အေ၇းပါေသာ စကားလုံးကို ရွာပါ"
"Sales (Tentative/Complete)";"အေရာင္း (မေသခ်ာ/ျပီးျပည့္စုံ)"
"Invalid (Cancelled/Disputed)";"မခိုင္မာမႈ (ပယ္ဖ်က္ထားျပီး/အျငင္းပြားမႈ)"
"Sales Report";"အေရာင္း အစီရင္ခံစာ"
"Recent Earning";"မၾကာေသးမီက ဝင္ေငြ"
Description;အေၾကာင္းအရာ
"Transaction Amount";"အေရာင္းအဝယ္ ပမာဏ"
Charges;ကုန္က်စရိတ္
Receivable;လက္ခံႏိုင္ေသာ
"Select Products";"ကုန္ပစၥည္းမ်ားအား ေရြးခ်ယ္ပါ"
Sub-Category;အမ်ဳိးအစားခြဲ
"Select a category to filter the results";"ရလဒ္မ်ားကို စစ္ထုတ္ရန္ အမ်ဳိးအစား ေရြးခ်ယ္ပါ"
"Product to Sell";"ေရာင္းခ်ရန္ ကုန္ပစၥည္း"
Details;အေသးစိတ္
Price:;ေစ်းႏႈန္း :
Comission:;ေကာ္မစ္ရွင္ :
"Add to Selected";"ေရြးခ်ယ္ထားသည္မ်ားထဲသို႔ ေပါင္းထည့္ပါ"
"View product";"ကုန္ပစၥည္းအား ျပပါ"
Cases;အေၾကာင္းအရာမ်ား
"Search By Case Id";"အေၾကာင္းအရာ အိုင္ဒီျဖင့္ ရွာပါ"
Search;ရွာေဖြပါ
Filter;စစ္ထုတ္ပါ
"Case ID";"အေၾကာင္းအရာ အိုင္ဒီ"
"Dispute Title";"အျငင္းပြားမႈ ေခါင္းစဥ္"
"Other Party";"အျခားေသာ အဖြဲ႕အစည္း"
"Date Opened";"ဖြင့္ခဲ့ေသာ ေန႔ရက္"
Open;ဖြင့္ပါ
Closed;ပိတ္ထားပါသည္
"No case found";"မည္သည့္ အေၾကာင္းအရာမွ ရွာမေတြ႕ပါ"
"Enter title here";"ေခါင္းစဥ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Select dispute type here";"အျငင္းပြားမႈ အမ်ဳိးအစားကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select reason here";"အေၾကာင္းအရင္းကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select transaction here";"အေရာင္းအဝယ္ကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select item to dispute:";"အေခ်အတင္ ေဆြးေႏြးရန္ ကုန္ပစၥည္းကို ေရြးခ်ယ္ပါ :"
"Leave your remarks here";"သင့္မွတ္ခ်က္မ်ားကို ဤေနရာတြင္ ခ်န္ခဲ့ပါ"
OPEN;ဖြင့္သည္
CLOSED;ပိတ္ထားသည္
Reason:;အေၾကာင္းအရင္း :
Notifications;အသိေပးခ်က္မ်ား
"Account setting";"အေကာင့္ ခ်ိန္ညိွခ်က္"
"Enter your password here";"သင့္စကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
Deactivate;သက္ဝင္လုပ္ေဆာင္မႈကို ရပ္တန္႕ပါ
"This Year";"ယခုႏွစ္"
"This Week";"ယခုအပတ္"
"This Month";"ယခုလ"
"Payment Method";"ေငြေပးေခ်မႈ နည္းလမ္း"
Qty;အေရအတြက္
"Payment Type";"ေငြေပးေခ်မႈ အမ်ဳိးအစား"
"Order Status";"ေအာ္ဒါ အေျခအေန"
Total;စုစုေပါင္း
"Transaction Number";"အေရာင္းအဝယ္ နံပါတ္"
"Payment Type:";"ေငြေပးေခ်မႈ အမ်ဳိးအစား :"
"Date Created:";"ဖန္တီးခဲ့ေသာ ေန႔ရက္ :"
"Total Quantity:";"စုစုေပါင္း အေရအတြက္ :"
"Total Product Cost:";"စုစုေပါင္း ကုန္ပစၥည္း ကုန္က်စရိတ္ :"
"Total Shipping Fee:";"စုစုေပါင္း ပို႔ေဆာင္ခ :"
"Total Cost:";"စုစုေပါင္း ကုန္က်စရိတ္ :"
"Product List";"ကုန္ပစၥည္း စာရင္း"
SKU:;SKU:
Details:;အေသးစိတ္ :
Quantity:;အေရအတြက္ :
"Product Price:";"ကုန္ပစၥည္း ေစ်းႏႈန္း :"
Condition:;အေျခအေန :
"Total Price:";"စုစုေပါင္း ေစ်းႏႈန္း :"
Brand:;ကုန္အမွတ္တံဆိပ္ :
Consignee;လက္ခံသူ
Consignee:;လက္ခံသူ :
Address:;လိပ္စာ :
Type;အမ်ဳိးအစား
"Earning Report";"ဝင္ေငြ အစီရင္ခံစာ"
Resources;အရင္းအျမစ္
Percent;ရာခိုင္ႏႈန္း
"View Detail";"အေသးစိတ္ ၾကည့္ပါ"
Weekly;အပတ္စဥ္
Monthly;လစဥ္
Earnings;ဝင္ေငြ
"View All";"အားလုံး ၾကည့္ပါ"
"Total Tentative Earning";"မေသခ်ာေသာ ဝင္ေငြ စုစုေပါင္း"
"Total Complete Earning";"ျပီးျပည့္စုံေသာ ဝင္ေငြ စုစုေပါင္း"
"Total Affiliate Network";"တြဲဖက္ ကြန္ယက္ စုစုေပါင္း"
"Earning on Affiliate Network";"တြဲဖက္ ကြန္ယက္အလိုက္ ဝင္ေငြ"
"Total Charges";"စုစုေပါင္း ကုန္က်စရိတ္"
"Total Net Receivables";"စုစုေပါင္း အသားတင္ လက္ခံႏိုင္စြမ္း"
"Total Active Receivables";"စုစုေပါင္း လုပ္ေဆာင္မႈ လက္ခံႏိုင္စြမ္း"
"Requested Amount";"ေတာင္းဆိုထားေသာ ပမာဏ"
"Amount to be Received";"လက္ခံရမည့္ ပမာဏ"
All;အားလုံး
"Submit for Review";"သုံးသပ္မႈအတြက္ ထည့္သြင္းပါ"
"Activate Product";"သက္ဝင္လႈပ္ရွားမႈရွိေသာ ကုန္ပစၥည္း"
"Deactivate Product";"သက္ဝင္လႈပ္ရွားမႈမရွိေသာ ကုန္ပစၥည္း"
"Delete Product";"ကုန္ပစၥည္းကို ဖ်က္ပါ"
"Date Updated";"အပ္ဒိတ္လုပ္ခဲ့ေသာ ေန႕ရက္"
"Product Name";"ကုန္ပစၥည္းအမည္"
"Total Quantity";"စုစုေပါင္း အေရအတြက္"
"Product Price";"ကုန္ပစၥည္း ေစ်းႏႈန္း "
Condition;အေျခအေန 
Active;လုပ္ေဆာင္ေနသည္
Deleted;ဖ်က္ျပီး
Inactive;မလုပ္ေဆာင္ပါ
Draft;အၾကမ္း
"Under Review";"သုံးသပ္ေနသည္"
Rejected;ပယ္ဖ်က္ျပီး
"Manage your preferences";"သင့္လိုလားမႈမ်ားကို စီမံခန္႕ခြဲပါ"
"Upload it now";"ယခုပင္ အပ္ေလာဒ့္လုပ္ပါ"
"Save as Draft";"အၾကမ္းအျဖစ္ သိမ္းပါ"
"Product Details";"ကုန္ပစၥည္း အေသးစိတ္"
"Enter product name here";"ကုန္ပစၥည္း အမည္ကို ဤေနရာတြင္ ထည့္ပါ"
"Short Description";"အေၾကာင္းအရာ အတို"
"Enter short product description here";"ကုန္ပစၥည္း အေၾကာင္းအရာ အတိုကို ဤေနရာတြင္ ထည့္ပါ"
"characters remaining";"အကၡရာ က်န္ရွိေနသည္"
"Upload Video";"ဗီဒီယိုကို အပ္ေလာဒ့္လုပ္ပါ"
"Enter youtube video url here";"Youtube ဗီဒီယို url ကို ဤေနရာတြင္ ျဖည့္ပါ"
Upload;အပ္ေလာဒ့္
"Invalid video embed URL";"မခိုင္မာေသာ ဗီဒီယို ထည့္သြင္း URL"
"Verifying video";"ဗီဒီယိုကို အတည္ျပဳေနသည္"
"Complete Description";"အေၾကာင္းအရာ ျဖည့္ျပီး"
"Enter product description here";"ကုန္ပစၥည္း အေၾကာင္းအရာကို ဤေနရာတြင္ ထည့္ပါ"
"Enter brand here";"ကုန္ပစၥည္းအမွတ္တံဆိပ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Select Condition";"အေျခအေနကို ေရြးခ်ယ္ပါ"
"Select your Category";"သင့္အမ်ဴိးအစားကို ေရြးခ်ယ္ပါ"
"Select Category";"အမ်ဴိးအစားကို ေရြးခ်ယ္ပါ"
"Inventory and Variants";"ကုန္ပစၥည္း စာရင္းႏွင့္ အမ်ဳိးအစားမ်ား"
"Detail Name";"အေသးစိတ္အမည္"
Values;တန္ဖိုး
Actions;လုပ္ေဆာင္မႈ
"Product Combinations";"ကုန္ပစၥည္း ေပါင္းစပ္မႈ"
Images;ရုပ္ပုံမ်ား
Combinations;ေပါင္းစပ္မႈမ်ား
Price;ေစ်းႏႈန္း 
Stocks;ကုန္
0.00;0
"Add Discount";"ေလွ်ာ့ေစ်း ေပါင္းထည့္ပါ"
"Final Price";"ေနာက္ဆုံး ေစ်းႏႈန္း"
"SKU (Stock Keeping Unit)";"SKU (သိုေလွာင္ထားေသာ ကုန္ အေရအတြက္)"
"Enter stock keeping unit here";"ဤေနရာတြင္ သိုေလွာင္ထားေသာ ကုန္ အေရအတြက္ကို ထည့္ပါ"
"You can assign any code in order to keep track of your items";"သင့္ကုန္ပစၥည္းကို မ်က္ေျခမျပတ္ေစရန္ မည္သည့္ကုဒ္ကိုမဆို ထည့္သြင္းႏိုင္ပါသည္"
"Number of Stocks Available";"ရရွိႏိုင္ေသာ ကုန္အေရအတြက္"
0;0
"Maximum quantity allowed is 999";"အမ်ားဆုံး ခြင့္ျပဳသည့္ အေရအတြက္သည္ 999 ျဖစ္ပါသည္"
"Dimensions and Weight";"အတိုင္းအတာ ႏွင့္ အေလးခ်ိန္"
"Length (CM)";"အလ်ား (CM)"
"Height (CM)";"အျမင့္ (CM)"
"Width (CM)";"အက်ယ္ (CM)"
"Weight (KG)";"အေလးခ်ိန္ (KG)"
"Variant Name";"အမ်ဳိးအစား အမည္"
"Enter keywords here";"အေရးပါေသာ စကားလုံးကို ဤေနရာတြင္ ျဖည့္ပါ"
"Variant Choice";"အမ်ဳိးအစား ေရြးခ်ယ္မႈ"
"Hit enter to add another";"အျခားအရာကို ေပါင္းထည့္ရန္ ထည့္သြင္းမည္ကို ႏွိပ္ပါ"
"You can search your category here";"သင့္ အမ်ဳိးအစားျဖင့္ ဤေနရာတြင္ ရွာေဖြႏိုင္ပါသည္"
Back;ေနာက္
Size;ဆိုဒ္
"Select Size Here";"ဆိုဒ္ကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Upload image first";"ရုပ္ပုံကို ပထမဦးစြာ အပ္ေလာဒ့္လုပ္ပါ"
"Variant Successfully Added";"အမ်ဳိးအစား ေအာင္ျမင္စြာ ေပါင္းထည့္ျပီး"
"Crop Photo";"သီးႏွံ ဓာတ္ပုံ"
Crop;သီးႏွံ
"All Categories";"အမ်ဳိးအစားအားလုံး"
"Category Search Suggestion";"အမ်ဳိးအစား ရွာေဖြမႈ အၾကံျပဳခ်က္"
Select;ေရြးခ်ယ္ပါ
"&larr;";"&larr;"
Photos;ဓာတ္ပုံမ်ား
"Full Description";"အေၾကာင္းအရာ အျပည့္အစုံ"
"See More";"ပို၍ ၾကည့္ရႈပါ"
Video;ဗီဒီယို
Category:;အမ်ဳိးအစား :
"Regular Price:";"ပုံမွန္ ေစ်းႏႈန္း :"
"Discounted Price:";"ေစ်းခ်ထားေသာ ေစ်းႏႈန္း :"
Commission:;ေကာ္မစ္ရွင္ :
"Length (CM):";"အလ်ား (CM):"
"Width (CM):";"အက်ယ္ (CM):"
"Height (CM):";"အျမင့္ (CM):"
"Weight (KG):";"အေလးခ်ိန္ (KG):"
"Additional Details";"ေနာက္ဆက္တြဲ အေသးစိတ္"
"Edit Product";"ကုန္ပစၥည္းကို တည္းျဖတ္ပါ"
Email;အီးေမးလ္
"Enter your email here";"သင့္အီးေမးလ္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
Change;ေျပာင္းလဲပါ
"Click here to verify";"အတည္ျပဳရန္ ဤေနရာကို ႏွိပ္ပါ"
"Change Email Address";"အီးေမးလ္လိပ္စာကို ေျပာင္းပါ"
"Enter your new email address here";"သင့္အီးေမးလ္လိပ္စာအသစ္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Confirm your new email address here";"သင့္အီးေမးလ္လိပ္စာအသစ္ကို ဤေနရာတြင္ အတည္ျပဳပါ"
"Change Password";"စကားဝွက္ ေျပာင္းပါ"
"Current Password";"လက္ရွိ စကားဝွက္"
"Enter your current password here";"သင့္လက္ရွိစကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"New Password";"စကားဝွက္ အသစ္"
"Confirm New Password";"သင့္စကားဝွက္အသစ္ကို အတည္ျပဳပါ"
"Confirm your new password here";"သင့္စကားဝွက္အသစ္ကို ဤေနရာတြင္ အတည္ျပဳပါ"
"All in one place";"တစ္ေနရာတည္းတြင္ ျပီးျပည့္စုံမႈ"
"Invalid email/contact number or password.";"မခိုင္လုံေသာ အီးေမးလ္/ ဆက္သြယ္ရန္ နံပါတ္ သို႕မဟုတ္ စကားဝွက္"
"Email Verified.";"အီးေမးလ္ အတည္ျပဳျပီး"
"Password reset success.";"စကားဝွက္ ျပန္လည္သတ္မွတ္မႈ ေအာင္ျမင္ပါသည္"
"Enter your email contact number here";"သင့္အီးေမးလ္ ဆက္သြယ္ရန္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Remember Me";"ကၽြန္ုပ္အား မွတ္ထားပါ"
"Copyright 2015 YiLinker. All Rights Reserved";"မူပိုင္ခြင့္ 2015 YiLinker. စည္းမ်ဥ္းစည္းကမ္းအတိုင္းသာ"
"Reset password request sent";"စကားဝွက္ ျပန္လည္သတ္မွတ္မႈ ေတာင္းဆိုခ်က္ ေပးပို႕ျပီး"
"Reset Password";"စကားဝွက္ ျပန္လည္သတ္မွတ္ပါ"
"Confirm new password";"သင့္စကားဝွက္အသစ္ကို အတည္ျပဳပါ"
"Verify Number";"နံပါတ္ကို အတည္ျပဳပါ"
"Profile Photo";"ပရိုဖိုင္ ဓာတ္ပုံ"
"Select an image from your computer (10mb max)";"သင့္ကြန္ပ်ဴတာမွ ရုပ္ပုံကို ေရြးခ်ယ္ပါ (အမ်ားဆုံး 10mb)"
"Cover Photo";"ကာဗာ ဓာတ္ပုံ"
"Enter your store name here";"သင့္စတိုးအမည္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Mobile Phone";"မိုဘိုင္း ဖုန္း"
"Enter your mobile number here";"သင့္မိုဘိုင္းနံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your store slug here";"သင့္စတိုးစလက္ဂ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Store Description";"စတိုးအေၾကာင္းအရာ"
"Enter your store description here";"သင့္စတိုးအေၾကာင္းအရာကို ဤေနရာတြင္ ျဖည့္ပါ"
"Save Changes";"ေျပာင္းလဲမႈမ်ားကို သိမ္းပါ"
Undo;မလုပ္ပါ
"Select your categories";"သင့္အမ်ဴိးအစားမ်ားကို ေရြးခ်ယ္ပါ"
"QR Code";"QR ကုဒ္"
"Share with";"ေဝမွ်ပါ"
"Generate your QR Code";"သင့္ QR ကုဒ္ကို ထုတ္ပါ"
"Copy Link.";"လင့္ခ္ကို ကူးပါ"
"Copy Code";"ကုဒ္ကို ကူးပါ"
"Referral Person";"အညႊန္း လူ"
"Referrers Name:";"ရည္ညႊန္းသူ အမည္ :"
"Referrers Code:";"ရည္ညႊန္းသူ နံပါတ္ :"
"Change Mobile Number";"မိုဘိုင္း နံပါတ္ကို ေျပာင္းပါ"
"Old Number";"နံပါတ္ အေဟာင္း"
"Enter New Number";"နံပါတ္အသစ္ကို ထည့္ပါ"
"Enter your new number here";"သင့္နံပါတ္အသစ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Time Left:";"က်န္ရွိခ်ိန္ :"
5:00;5:00
"Enter Code";"ကုဒ္ထည့္သြင္းပါ"
"Crop Profile Photo";"သီးႏွံ ပရိုဖိုင္ ဓာတ္ပုံ"
"Crop Cover Photo";"သီးႏွံ ကာဗာ ဓာတ္ပုံ"
"Share via Email";"အီးေမးလ္ျဖင့္ ေဝမွ်ပါ"
"Enter recipient email here. Separated with commas.";"လက္ခံသူအီးေမးလ္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ ေကာ္မာမ်ားျဖင့္ ျခားပါ"
"Enter your message here";"သင့္မက္ေဆ့ဂ်္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Personal Information";"တစ္ကိုယ္ရည္ အခ်က္အလက္"
"Enter your first name here";"သင့္အမည္ ပထမစာလုံးကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your last name here";"သင့္အမည္ ေနာက္ဆုံးစာလုံးကို ဤေနရာတြင္ ျဖည့္ပါ"
"TIN ID:";"TIN အိုင္ဒီ :"
"Enter your TIN here";"သင့္TINကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Upload Valid ID Photo:";"ခိုင္မာေသာ အိုင္ဒီ ဓာတ္ပုံကို အပ္ေလာဒ့္လုပ္ပါ :"
"You already uploaded your valid ID";"သင္၏ ခိုင္မာေသာ အိုင္ဒီကို အပ္ေလာဒ့္လုပ္ျပီး ျဖစ္ပါသည္"
"Why am i being asked for my TIN?";"ကၽြန္ုပ္၏ TIN အတြက္ ဘာေၾကာင့္ ဆက္ေတာင္းဆိုေနတာလဲ။"
"Enter your address title here";"သင့္လိပ္စာ ေခါင္းစဥ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your address unit number here";"သင့္လိပ္စာ အခန္းနံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your address building name here";"သင့္လိပ္စာ အေဆာင္နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your address street number here";"သင့္လိပ္စာ လမ္းနံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your address street name here";"သင့္လိပ္စာ လမ္းအမည္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter your address subdivision here";"သင့္လိပ္စာ ျပည္နယ္ခြဲကို ဤေနရာတြင္ ျဖည့္ပါ"
"Select your city";"သင့္ျမိဳ႕ကို ေရြးခ်ယ္ပါ"
"Select your barangay";"သင့္Barangay ကို ေရြးခ်ယ္ပါ"
"Enter your zip code here";"သင့္စာပို႕ကုဒ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Do you want to set this new address as the default location for every Product Pick-up request?";"ကုန္ပစၥည္းေရြးယူမႈ ေတာင္းဆိုခ်က္တိုင္းအတြက္ ပုံေသေနရာအျဖစ္ လိပ္စာအသစ္ကို သတ္မွတ္ထားရွိလိုပါသလား။"
"Update Shipping Address";"ပို႔ေဆာင္ရန္ လိပ္စာကို အပ္ဒိတ္လုပ္ပါ"
