"click here";"Click vào đây"
"out of";"trong số"
"requirements are already completed";"yêu cầu đã được hoàn thành"
"Frequently Ask Questions";"Câu hỏi thường gặp"
"Add Product Category";"Thêm danh mục sản phẩm"
"Category One";"Thể loại 1"
"&nbsp;";"&nbsp;"
"Add this Category";"Thêm chuyên mục này"
"Verify Email Address";"Xác minh địa chỉ Email"
Code;Mã số
"Resend Verification Code";"Gửi lại mã xác minh"
Verify;Xác minh
"New Store Address";"Địa chỉ cửa hàng mới"
"Enter your address line 1 here";"Nhập địa chỉ đường dây của bạn 1 ở đây"
Cancel;Hủy bỏ
Submit;Gửi
Okay;Ok
"Are you sure you want to delete this address";"Bạn có chắc bạn muốn xóa địa chỉ này"
Delete;Xóa bỏ
"Progress Overview";"Tổng quan về sự tiến bộ"
"This is to ensure that YiLinker is working with only legitimate businesses";"Điều này đảm bảo rằng YiLinker đang làm việc với các doanh nghiệp chỉ hợp pháp"
"Seller Product";"Sản phẩm bán chạy"
Category;Thể loại
Brand;Thương hiệu
Warranty;Bảo hành
Quantity;Số lượng
"Basketball Shoes";"Giày bóng rổ"
"Enter your product brand";"Nhập thương hiệu sản phẩm của bạn"
Yes;Có
No;Không
"Go Back";"Quay lại"
Save;Tiết kiệm
"AFFILIATE AGREEMENT";"LIÊN KẾT THỎA THUẬN"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall của Châu á, Thái Bình Dương ổ, Pasay City"
"Advertising Media";"Phương tiện truyền thông quảng cáo"
"Affiliate Program";"Chương trình liên kết"
"Affiliate鈥檚 Website";"Affiliate â€™ s trang web"
Customer;Khách hàng
EDM;EDM
Marks;Nhãn hiệu
Merchant;Thương gia
Platform;Nền tảng
Site;Trang web
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"THỎA THUẬN DỊCH VỤ THƯƠNG MẠI"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall của Châu á, Thái Bình Dương ổ"
"Merchant Agreement";"Hiệp định thương mại"
"Site, Website";"Trang web, trang web"
Payout;Thanh toán
Products;Sản phẩm
Buyer;Người mua
"Selling Price";"Giá bán"
"Corporate Name / Business Name";"Tên công ty / doanh nghiệp tên"
Owner/President;Chủ sở hữu/chủ tịch
"Company Phone Number";"Số điện thoại công ty"
"Registered Office Address";"Địa chỉ đăng ký văn phòng"
"Business Address (If different to registered office)";"Địa chỉ kinh doanh (nếu khác đến văn phòng đăng ký)"
"Contact Person";"Người liên hệ"
"Phone and Fax";"Điện thoại và Fax"
"Email Address";"Địa chỉ email"
Website/Facebook/Twitter/Instagram;Website/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Tóm tắt
"Bank Information";"Thông tin ngân hàng"
"Edit Bank Account";"Chỉnh sửa tài khoản ngân hàng"
"Bank Account";"Tài khoản ngân hàng"
"Bank Details are Permanent";"Chi tiết ngân hàng là vĩnh cửu"
"Enter your bank account title here";"Nhập tiêu đề tài khoản ngân hàng của bạn ở đây"
"Enter bank here";"Nhập vào ngân hàng tại đây"
"Account Number";"Số tài khoản"
"Enter your bank account number here";"Nhập số tài khoản ngân hàng của bạn ở đây"
"Account Name";"Tên tài khoản"
"Enter your bank account name here";"Nhập tên tài khoản ngân hàng của bạn ở đây"
"Are you sure you want to delete this bank account";"Bạn có chắc bạn muốn xóa trương mục ngân hàng này"
Ok;đồng ý
"Business Information";"Thông tin doanh nghiệp"
"Store Name";"Tên cửa hàng"
"Enter your display name";"Nhập tên hiển thị của bạn"
"Store Link";"Cửa hàng liên kết"
"Store Name and Store Link are Permanent";"Tên cửa hàng và cửa hàng liên kết là vĩnh cửu"
"First Name";"Tên đầu tiên"
"Last Name";"Tên cuối cùng"
"Mobile Number";"Số điện thoại di động"
"Company / School";"Công ty / trường học"
"Current Job / Course & Year Level";"Công việc hiện nay / khóa học & năm cấp"
TIN;THIẾC
Address;Địa chỉ
"Edit Address";"Chỉnh sửa địa chỉ"
"Delete Address";"Xóa địa chỉ"
"Business Website";"Trang web kinh doanh"
"Ex. https://yourWebSite.com";"Ví dụ: https://yourWebSite.com"
"Social Media Account";"Tài khoản truyền thông xã hội"
"Select your Product Categories";"Chọn danh mục sản phẩm của bạn"
"Address Title";"Tiêu đề địa chỉ"
"Home Address";"Địa chỉ nhà"
"Unit Number";"Số đơn vị"
"Building Name";"Xây dựng tên"
"Street Number";"Đường số"
"Street Name";"Tên đường"
Subdivision;Phân ngành
Province;Tỉnh
"Select your province";"Chọn tỉnh của bạn"
City/Municipal;Thành phố/thuộc về đô thị
Barangay;Barangay
"Zip Code";"Mã bưu điện"
Continue;Tiếp tục
"Legal Information";"Thông tin pháp lý"
"Legal Requirements";"Yêu cầu pháp lý"
"DTI/SEC Permit";"Giấy phép DTI/SEC"
"Download DTI/SEC Permit";"Tải về giấy phép DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"Tương thích các tập tin: JPEG, PNG và PDF"
"Mayor's Permit";"Giấy phép của thị trưởng"
"Download Mayor's Permit";"Tải về giấy phép của thị trưởng"
"BIR Permit";"BIR giấy phép"
"Download BIR Permit";"Tải về giấy phép BIR"
"Select your DTI/SEC Permit file from your computer";"Chọn tập tin DTI/SEC cho phép của bạn từ máy tính của bạn"
"Select your Mayor's Permit file from your computer";"Chọn của thị trưởng cho phép tập tin từ máy tính của bạn"
"Select your BIR Permit file from your computer";"Chọn tệp BIR cho phép của bạn từ máy tính của bạn"
"Other Documents";"Các tài liệu khác"
"Select a document file from your computer";"Chọn một tập tin tài liệu từ máy tính của bạn"
"By Checking this box";"Bằng cách kiểm tra hộp này"
"YiLinker's terms and conditions";"Điều khoản và điều kiện của YiLinker"
"TIN File";"Tệp TIN"
"Download TIN File";"Tải về tệp TIN"
"SSS File";"SSS File"
"Select Valid ID";"Chọn ID hợp lệ"
"Download SSS File";"Tải tập tin SSS"
"PAG-IBIG File";"PAG-IBIG tập tin"
"Download PAG-IBIG File";"Tải tập tin PAG-IBIG"
"Postal File";"Bưu chính tập tin"
"Download Postal File";"Tải tập tin bưu chính"
"Passport File";"Hộ chiếu File"
"Download Passport File";"Tải tập tin hộ chiếu"
"Driver's License File";"Tệp của trình điều khiển License"
"Download Driver's License File";"Tải tập tin giấy phép lái xe"
"PRC File";"PRC File"
"Download PRC File";"Download PRC File"
"Voter's ID File";"Tệp ID của cử tri"
"Download Voter's ID File";"Tải xuống tệp của cử tri ID"
"School ID File";"Trường ID tập tin"
"Download School ID File";"Tập tin tải về trường ID"
"Select your TIN file from your computer";"Chọn tệp TIN của bạn từ máy tính của bạn"
"Valid ID";"ID hợp lệ"
"Select the type of Valid ID you want to upload from your computer";"Chọn loại hợp lệ ID bạn muốn tải lên từ máy tính của bạn"
"Seller Type:";"Người bán loại:"
Seller;Người bán
Affiliate;Liên kết
"Owner Name:";"Tên chủ sở hữu:"
"Store Name:";"Tên cửa hàng:"
"Primary Address:";"Địa chỉ chính:"
"Contact Number:";"Liên hệ:"
"Change Content";"Thay đổi nội dung"
Edit;Chỉnh sửa
Start;Bắt đầu
"Bank Name:";"Tên ngân hàng:"
"Account Title:";"Tiêu đề tài khoản:"
"Account Name:";"Tên tài khoản:"
"Account Number:";"Số tài khoản:"
"Document Name";"Tài liệu tên"
"Date Uploaded";"Ngày tải lên"
Status;Tình trạng
Message;Tin nhắn
"FORM MA11501 Permit";"MẪU MA11501 giấy phép"
Others;Những người khác
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Bưu chính
Passport;Hộ chiếu
"Driver's License";"Lái xe"
PRC;TRUNG QUỐC
"Voter's ID";"Của cử tri ID"
"School ID";"Trường ID"
"Legal Documents";"Văn bản pháp luật"
Comments;Ý kiến
Close;Đóng
"Already a member?";"Đã là thành viên?"
"Sign In";"Đăng nhập"
"The Question";"Các câu hỏi"
"&#9679;";"&#9679;"
Benefits;Lợi ích
System;Hệ thống
Support;Hỗ trợ
"Want to start-up a business without any investment? Looking for passive income?";"Bạn muốn bắt đầu một doanh nghiệp mà không có bất kỳ đầu tư? Tìm kiếm thu nhập thụ động?"
"Sign in";"Đăng nhập"
Register;Đăng ký
"Enter your email or contact number here";"Nhập email hoặc số liên lạc của bạn"
Password;Mật khẩu
"Forgot Password?";"Quên mật khẩu?"
Administrator;Người quản trị
View;Xem
Hide;Ẩn
"New Bank Account";"Tài khoản ngân hàng mới"
"Update Bank Account";"Cập Nhật tài khoản ngân hàng"
Logout;Đăng xuất
"View Store Info";"Xem lưu trữ thông tin"
Settings;Cài đặt
Help;Trợ giúp
Categories;Thể loại
"Current Order:";"Trật tự hiện tại:"
"New Category";"Thể loại mới"
"Add new category";"Thêm mục mới"
"Delete Categories";"Xoá các loại"
"Customize Category";"Tùy chỉnh các thể loại"
"Category Name";"Tên thể loại"
"Parent Category";"Thể loại phụ huynh"
"Select a parent category";"Chọn một thể loại phụ huynh"
"Custom Category Products";"Tuỳ loại sản phẩm"
"Search item here";"Mục tìm ở đây"
"All Products";"Tất cả sản phẩm"
"Total Earning";"Tổng số thu nhập"
"Active Earning";"Hoạt động thu nhập"
"Tentative Earning";"Thu nhập dự kiến"
"Total Withdrew";"Tổng cộng đã rút lui."
"Search :";"Tìm kiếm:"
"Keyword :";"Từ khóa:"
"Type :";"Loại:"
"Status :";"Tình trạng:"
"Date :";"Ngày:"
"Net Receivables";"Khoản phải thu ròng"
"Tentative Receivable";"Dự kiến phải thu"
"Available Balance";"Số dư có sẵn"
"Available Balance:";"Số dư có sẵn:"
"Withdrawal Amount:";"Số tiền rút:"
"Withdrawal Method:";"Phương pháp thu hồi:"
"Deposit to Bank";"Tiền gửi ngân hàng"
"Deposit To:";"Gửi đến:"
"Mobile Number:";"Số điện thoại di động:"
"Confirmation Code:";"Mã xác nhận:"
"Confirm Withdrawal";"Xác nhận rút"
"Withdrawal Request List";"Danh sách yêu cầu rút tiền"
Date;Ngày
Method;Phương pháp
"Deposit To/Pay To";"Tiền đặt cọc để / trả tiền để"
Requested;Yêu cầu
"Bank Charge";"Phí ngân hàng"
Amount;Số lượng
"Your QR Code";"Mã QR"
"Download your QR Code";"Tải về mã QR"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"Định dạng SVG"
"How to Earn More";"Làm thế nào để kiếm được nhiều hơn"
Comment;Bình luận
"Earn Per Comment";"Kiếm được mỗi bình luận"
"Bonus Earning";"Kiếm tiền thưởng"
"1 - 5";"1 - 5"
"6 - 20";"6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - ở trên"
-;-
"Total Comments";"Tổng số bình"
32;32
"Earning on Comment";"Thu nhập trên bình luận"
Followers;Những người theo
"Earn Per Follower";"Kiếm được mỗi người đi theo"
"1 - 20";"1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"Tất cả những người theo"
106;106
"Earning on Followers";"Thu nhập trên người theo"
"Your Referral Code";"Mã giới thiệu của bạn"
100-043-210;100-043-210
"Your Referral Link";"Liên kết giới thiệu của bạn"
"Copy Link";"Sao chép liên kết"
"Share on Social Media";"Chia sẻ trên truyền thông xã hội"
"Total Buyer Network";"Tất cả người mua mạng"
"Earning on Buyer Network";"Thu nhập trên mạng người mua"
"Affiliate Level";"Mức độ liên kết"
"Store Space";"Lưu trữ Space"
Silver;Bạc
"Below P 5,000";"Dưới P 5,000"
"150 Products";"150 sản phẩm"
"Current Level";"Mức độ hiện tại"
Gold;Vàng
"P 5,001 to P 20,000";"P 5,001 người đến 20,000 P"
"200 Products";"200 sản phẩm"
Platinum;Bạch kim
"P 20,001 to P 50,000";"P 20,001 để P 50,000"
"300 Products";"300 sản phẩm"
Diamond;Kim cương
"Above P 50,000";"Trên P 50,000"
"500 Products";"500 sản phẩm"
Name;Tên
"Contact Number";"Số liên lạc"
Action;Hành động
Dashboard;Bảng điều khiển
"Store Information";"Lưu trữ thông tin"
Transaction;Giao dịch
"Product Management";"Quản lý sản phẩm"
"Customized Category";"Tùy biến thể loại"
"Upload Product";"Tải lên sản phẩm"
"Select Product";"Lựa chọn sản phẩm"
Reports;Báo cáo
Messages;Tin nhắn
"Resolution Center";"Độ phân giải Trung tâm"
"Point Earned";"Điểm thu được"
Breakdown;Niu Di-lân
"+ 10 Points";"+ 10 điểm"
"- 10 Points";"-10 điểm"
Status:;Tình trạng:
"Seller ID:";"Người bán ID:"
;
"Total Sales";"Tổng doanh thu"
"Total Net Sales";"Tổng doanh thu ròng"
"Buyer Networks";"Mạng lưới người mua"
"Success Transaction";"Giao dịch thành công"
"Total Earnings";"Tổng thu nhập"
"Search type :";"Loại tìm kiếm:"
"Select Here";"Chọn ở đây"
"Search keyword here";"Tìm từ khóa ở đây"
"Sales (Tentative/Complete)";"Bán hàng (dự kiến/hoàn thành)"
"Invalid (Cancelled/Disputed)";"Không hợp lệ (hủy bỏ/tranh cãi)"
"Sales Report";"Báo cáo bán hàng"
"Recent Earning";"Tại kiếm"
Description;Mô tả
"Transaction Amount";"Số tiền giao dịch"
Charges;Chi phí
Receivable;Phải thu
"Select Products";"Chọn sản phẩm"
Sub-Category;Danh mục phụ
"Select a category to filter the results";"Chọn một thể loại để lọc kết quả"
"Product to Sell";"Các sản phẩm để bán"
Details;Thông tin chi tiết
Price:;Giá:
Comission:;Comission:
"Add to Selected";"Thêm để chọn"
"View product";"Xem sản phẩm"
Cases;Trường hợp
"Search By Case Id";"Tìm kiếm theo Case Id"
Search;Tìm kiếm
Filter;Bộ lọc
"Case ID";"Trường hợp ID"
"Dispute Title";"Tiêu đề tranh chấp"
"Other Party";"Bên kia"
"Date Opened";"Ngày khai trương"
Open;Mở cửa
Closed;Đóng cửa
"No case found";"Trường hợp không tìm thấy"
"Enter title here";"Nhập tiêu đề ở đây"
"Select dispute type here";"Chọn loại tranh chấp ở đây"
"Select reason here";"Chọn lý do ở đây"
"Select transaction here";"Chọn giao dịch tại đây"
"Select item to dispute:";"Chọn mục tranh chấp:"
"Leave your remarks here";"Để lại nhận xét của bạn ở đây"
OPEN;MỞ CỬA
CLOSED;ĐÓNG CỬA
Reason:;Lý do:
Notifications;Thông báo
"Account setting";"Cài đặt tài khoản"
"Enter your password here";"Nhập mật khẩu của bạn ở đây"
Deactivate;Tắt
"This Year";"Năm nay"
"This Week";"Tuần này"
"This Month";"Tháng này"
"Payment Method";"Phương thức thanh toán"
Qty;SL
"Payment Type";"Hình thức thanh toán"
"Order Status";"Tình trạng đơn hàng"
Total;Tổng cộng
"Transaction Number";"Số lượng giao dịch"
"Payment Type:";"Hình thức thanh toán:"
"Date Created:";"Ngày tạo:"
"Total Quantity:";"Tổng số lượng:"
"Total Product Cost:";"Tất cả sản phẩm chi phí:"
"Total Shipping Fee:";"Các khoản phí tổng vận chuyển:"
"Total Cost:";"Tổng chi phí:"
"Product List";"Danh sách sản phẩm"
SKU:;MÃ SẢN PHẨM:
Details:;Thông tin chi tiết:
Quantity:;Số lượng:
"Product Price:";"Giá sản phẩm:"
Condition:;Điều kiện:
"Total Price:";"Tổng cộng:"
Brand:;Thương hiệu:
Consignee;Người nhận hàng
Consignee:;Người nhận hàng:
Address:;Địa chỉ:
Type;Loại hình
"Earning Report";"Báo cáo thu nhập"
Resources;Tài nguyên
Percent;Phần trăm
"View Detail";"Xem chi tiết"
Weekly;Lượt
Monthly;Hàng tháng
Earnings;Thu nhập
"View All";"Xem tất cả"
"Total Tentative Earning";"Tổng thu nhập dự kiến"
"Total Complete Earning";"Tổng thu nhập đầy đủ"
"Total Affiliate Network";"Tất cả liên kết mạng"
"Earning on Affiliate Network";"Thu nhập trên mạng lưới liên kết"
"Total Charges";"Tất cả các chi phí"
"Total Net Receivables";"Tất cả các khoản phải thu ròng"
"Total Active Receivables";"Tất cả hoạt động khoản phải thu"
"Requested Amount";"Yêu cầu số tiền"
"Amount to be Received";"Số tiền để được nhận"
All;Tất cả
"Submit for Review";"Gửi cho Review"
"Activate Product";"Kích hoạt sản phẩm"
"Deactivate Product";"Hủy kích hoạt sản phẩm"
"Delete Product";"Xóa sản phẩm"
"Date Updated";"Ngày Cập Nhật"
"Product Name";"Tên sản phẩm"
"Total Quantity";"Số lượng tổng số"
"Product Price";"Giá sản phẩm"
Condition;Điều kiện
Active;Hoạt động
Deleted;Xóa bỏ
Inactive;Không hoạt động
Draft;Dự thảo
"Under Review";"Đang xem xét"
Rejected;Bị từ chối
"Manage your preferences";"Quản lý các tuỳ chọn của bạn"
"Upload it now";"Tải lên bây giờ"
"Save as Draft";"Tiết kiệm là dự thảo"
"Product Details";"Chi tiết sản phẩm"
"Enter product name here";"Nhập tên sản phẩm tại đây"
"Short Description";"Mô tả ngắn gọn"
"Enter short product description here";"Nhập mô tả ngắn sản phẩm tại đây"
"characters remaining";"ký tự còn lại"
"Upload Video";"Tải lên Video"
"Enter youtube video url here";"Nhập url video youtube ở đây"
Upload;Tải lên
"Invalid video embed URL";"Không hợp lệ video nhúng URL"
"Verifying video";"Xác minh video"
"Complete Description";"Mô tả đầy đủ"
"Enter product description here";"Nhập mô tả ở đây"
"Enter brand here";"Nhập thương hiệu ở đây"
"Select Condition";"Chọn tình trạng"
"Select your Category";"Chọn danh mục của bạn"
"Select Category";"Chọn danh mục"
"Inventory and Variants";"Hàng tồn kho và các biến thể"
"Detail Name";"Chi tiết tên"
Values;Giá trị
Actions;Hành động
"Product Combinations";"Sản phẩm kết hợp"
Images;Hình ảnh
Combinations;Kết hợp
Price;Giá
Stocks;Cổ phiếu
0.00;0
"Add Discount";"Thêm giảm giá"
"Final Price";"Giá cuối cùng"
"SKU (Stock Keeping Unit)";"Mã sản phẩm (cổ phần Giữ đơn vị)"
"Enter stock keeping unit here";"Nhập cổ phần Giữ đơn vị ở đây"
"You can assign any code in order to keep track of your items";"Bạn có thể chỉ định bất kỳ mã để theo dõi các bản ghi của bạn"
"Number of Stocks Available";"Số lượng cổ phiếu có sẵn"
0;0
"Maximum quantity allowed is 999";"Số lượng tối đa cho phép là 999"
"Dimensions and Weight";"Kích thước và trọng lượng"
"Length (CM)";"Chiều dài (CM)"
"Height (CM)";"Chiều cao (CM)"
"Width (CM)";"Chiều rộng (CM)"
"Weight (KG)";"Trọng lượng (KG)"
"Variant Name";"Biến thể tên"
"Enter keywords here";"Nhập từ khóa ở đây"
"Variant Choice";"Lựa chọn phiên bản"
"Hit enter to add another";"Nhấn enter để thêm một"
"You can search your category here";"Bạn có thể tìm kiếm thể loại của bạn ở đây"
Back;Trở lại
Size;Kích thước
"Select Size Here";"Chọn kích thước ở đây"
"Upload image first";"Tải lên hình ảnh đầu tiên"
"Variant Successfully Added";"Phiên bản thêm thành công"
"Crop Photo";"Cắt ảnh"
Crop;Cây trồng
"All Categories";"Tất cả thể loại"
"Category Search Suggestion";"Thể loại tìm kiếm gợi ý"
Select;Chọn
"&larr;";"&larr;"
Photos;Hình ảnh
"Full Description";"Mô tả đầy đủ"
"See More";"Xem chi tiết"
Video;Video
Category:;Thể loại:
"Regular Price:";"Giá thường xuyên:"
"Discounted Price:";"Mức giá giảm giá:"
Commission:;Hoa hồng:
"Length (CM):";"Chiều dài (CM):"
"Width (CM):";"Chiều rộng (CM):"
"Height (CM):";"Chiều cao (CM):"
"Weight (KG):";"Trọng lượng (KG):"
"Additional Details";"Chi tiết bổ sung"
"Edit Product";"Chỉnh sửa sản phẩm"
Email;Thư điện tử
"Enter your email here";"Nhập email của bạn ở đây"
Change;Thay đổi
"Click here to verify";"Click vào đây để kiểm tra"
"Change Email Address";"Thay đổi địa chỉ Email"
"Enter your new email address here";"Nhập địa chỉ email mới của bạn ở đây"
"Confirm your new email address here";"Xác nhận địa chỉ email mới của bạn ở đây"
"Change Password";"Thay đổi mật khẩu"
"Current Password";"Mật khẩu hiện thời"
"Enter your current password here";"Nhập mật khẩu hiện tại của bạn ở đây"
"New Password";"Mật khẩu mới"
"Confirm New Password";"Xác nhận mật khẩu mới"
"Confirm your new password here";"Xác nhận mật khẩu mới của bạn ở đây"
"All in one place";"Tất cả ở một nơi"
"Invalid email/contact number or password.";"Email không hợp lệ/liên hệ số điện thoại hoặc mật khẩu."
"Email Verified.";"Email xác nhận."
"Password reset success.";"Đặt lại mật khẩu thành công."
"Enter your email contact number here";"Nhập email của bạn liên hệ số dưới đây"
"Remember Me";"Ghi nhớ tôi"
"Copyright 2015 YiLinker. All Rights Reserved";"Bản quyền 2015 YiLinker. Tất cả các quyền"
"Reset password request sent";"Đặt lại mật khẩu yêu cầu được gửi"
"Reset Password";"Đặt lại mật khẩu"
"Confirm new password";"Xác nhận mật khẩu mới"
"Verify Number";"Xác minh số"
"Profile Photo";"Ảnh tiểu sử"
"Select an image from your computer (10mb max)";"Chọn một hình ảnh từ máy tính của bạn (tối đa 10mb)"
"Cover Photo";"Ảnh bìa"
"Enter your store name here";"Nhập tên cửa hàng của bạn ở đây"
"Mobile Phone";"Điện thoại di động"
"Enter your mobile number here";"Nhập số điện thoại di động của bạn ở đây"
"Enter your store slug here";"Nhập vào sên cửa hàng của bạn ở đây"
"Store Description";"Cửa hàng mô tả"
"Enter your store description here";"Nhập mô tả store của bạn ở đây"
"Save Changes";"Lưu thay đổi"
Undo;Hoàn tác
"Select your categories";"Chọn danh mục của bạn"
"QR Code";"Mã QR"
"Share with";"Chia sẻ với"
"Generate your QR Code";"Tạo mã QR"
"Copy Link.";"Sao chép liên kết."
"Copy Code";"Sao chép mã"
"Referral Person";"Giới thiệu người"
"Referrers Name:";"Giới thiệu tên:"
"Referrers Code:";"Giới thiệu mã:"
"Change Mobile Number";"Thay đổi số điện thoại di động"
"Old Number";"Số cũ"
"Enter New Number";"Nhập số mới"
"Enter your new number here";"Nhập số mới của bạn ở đây"
"Time Left:";"Thời gian còn lại:"
5:00;0.208333333333333
"Enter Code";"Nhập mã"
"Crop Profile Photo";"Crop ảnh tiểu sử"
"Crop Cover Photo";"Ảnh bìa cây trồng"
"Share via Email";"Chia sẻ qua Email"
"Enter recipient email here. Separated with commas.";"Nhập địa chỉ người nhận email tại đây. Phân tách bằng dấu phẩy."
"Enter your message here";"Tin nhắn của bạn ở đây"
"Personal Information";"Thông tin cá nhân"
"Enter your first name here";"Nhập tên của bạn ở đây"
"Enter your last name here";"Nhập họ của bạn ở đây"
"TIN ID:";"MÃ TIN:"
"Enter your TIN here";"Nhập của bạn tín ở đây"
"Upload Valid ID Photo:";"Tải lên hình ảnh ID hợp lệ:"
"You already uploaded your valid ID";"Bạn đã tải lên của bạn ID hợp lệ"
"Why am i being asked for my TIN?";"Tại sao tôi được yêu cầu cho các TIN của tôi?"
"Enter your address title here";"Nhập tiêu đề địa chỉ của bạn ở đây"
"Enter your address unit number here";"Nhập số địa chỉ đơn vị của bạn ở đây"
"Enter your address building name here";"Nhập địa chỉ của bạn xây dựng tên ở đây"
"Enter your address street number here";"Nhập số của bạn địa chỉ đường phố ở đây"
"Enter your address street name here";"Nhập tên của bạn địa chỉ đường phố ở đây"
"Enter your address subdivision here";"Nhập của bạn ở đây địa chỉ phân ngành"
"Select your city";"Chọn thành phố của bạn"
"Select your barangay";"Chọn barangay của bạn"
"Enter your zip code here";"Nhập mã zip của bạn ở đây"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Bạn có muốn thiết lập địa chỉ mới này là vị trí mặc định cho mỗi yêu cầu sản phẩm Pick-up?"
"Update Shipping Address";"Cập Nhật địa chỉ vận chuyển"
